[2025-06-25 06:00:02] INFO - 🔧 Logging initialized
[2025-06-25 06:00:02] INFO - 프로그램 시작됨
[2025-06-25 06:00:16] INFO - 🔢 총 공고 수: 174477건 → 최대 페이지 수: 3490 페이지
[2025-06-25 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-06-25 06:00:16] INFO - 0001 | 우영외식산업 주식회사 | 성장하는 참치 유통사와 함께할 창고·납품관리자 채용(급여 300/주5일제) | 4시간 전 등록
[2025-06-25 06:00:16] INFO - 0002 | 윌레나원어민영어학원 | 함께 성장하는 따뜻한 영어선생님 (초-중) 정규직/단기 | 5시간 전 등록
[2025-06-25 06:00:16] INFO - 0003 | 글로벌JMT | [파주 대규모 채용/상여 300] 친구동반 / 품질 /생산/ 반도체 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0004 | 글로벌JMT | [부천반도체 정규직] 4조 3교대 /반도체/품질/나스닥/ 최강복지/품질/생산 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0005 | 글로벌JMT | [용인/이천 정규직/1인실] 경력인정/반도체/품질/test생산/장비기술메인트 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0006 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면면접/대기업계약직/ 월390만 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0007 | 글로벌JMT | [씨제이푸드빌 /제과제빵 정규직 ] 스케줄근무 / 복지포인트 /최강복지 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0008 | 글로벌JMT | [부천반도체 정규직] 4조 3교대 /반도체/품질/나스닥/최강복지/품질/ 생산 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0009 | 글로벌JMT | [ 1조 매출/ 상여금 300/ 주급가불 450] 커플 / 당일 즉시입사/동반같은조 | 5시간 전 등록
[2025-06-25 06:00:17] INFO - 0010 | 카이먼 | 개발팀 경력 | 5시간 전 등록
[2025-06-25 06:00:18] INFO - 0011 | 인커넥트 | [약3개월단기(월최대283만)/에어컨(한가지) 전담상담]-LG전자 고객센터 | 5시간 전 등록
