[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:15] INFO - 0001 | 주식회사엑스젠에이아이 | 코인유튜브 영상제작자 인센티브제 재택근무 모집합니다. | 3시간 전 등록
[2025-06-26 06:00:15] INFO - 0002 | 모 스포츠 (MO SPORTS) | 그래픽디자이너 경력 | 5시간 전 등록
[2025-06-26 06:00:15] INFO - 0003 | 모 스포츠 (MO SPORTS) | 3D영상 모션그래픽 디자인 | 5시간 전 등록
[2025-06-26 06:00:15] INFO - 0004 | 모 스포츠 (MO SPORTS) | 마케팅 경력 (남양주) | 5시간 전 등록
[2025-06-26 06:00:15] INFO - 0005 | 모 스포츠 (MO SPORTS) | SEO 마케터 경력 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0006 | 모 스포츠 (MO SPORTS) | 퍼포먼스 마케터 경력 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0007 | 배화여자대학교산학협력단 | 배화여자대학교 산학협력단 서울시 RISE사업 전담 직원 모집 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0008 | 에스제이지엘에스주식회사 | 포워딩 오퍼레이터 채용 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0009 | ㈜클랩피자 | 클랩피자 청담점 팀원(직원, 파트타이머) 채용 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0010 | 서초청소년도서관 | 2025년 서초청소년도서관 단시간근로자(시설관리보조) 채용 공고 | 5시간 전 등록
[2025-06-26 06:00:16] INFO - 0011 | ㈜이노솔루션 | [이노솔루션] PHP 개발자 팀원급 모집 ( LMS 유지보수담당 ) | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0012 | 자코모 | JAKOMO 소파케어서비스 경력직 채용(2년 이상) | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0013 | ㈜윤문주 | [잠실새내점] 르봉마리아쥬 베이커리 카페에서 홀 점장 채용합니다. | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0014 | ㈜에펠오토 | [수입차딜러] 프랑스 브랜드 푸조 분당 전시장 세일즈 직원 모집 | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0015 | 데브시스터즈㈜ | [쿠키런: 킹덤] 개발 QA | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0016 | 주식회사 이피솔루션 | 아웃소싱 사무실 CS 직원 모집 | 5시간 전 등록
[2025-06-26 06:00:17] INFO - 0017 | 주식회사 루미호스피탈리티 | F&B 브랜드 마케터 모집 | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0018 | 루미호스피탈리티 | [청킹마마 종로점] 홀,주방 정직원 모집 | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0019 | 루미호스피탈리티 | [마디그라 종로점] 정직원 채용(일요일 고정 휴무) | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0020 | 루미호스피탈리티 | [슈가스컬 서울역점] 정규직 직원 모집 | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0021 | ㈜모어사이언스 | 영상 콘텐츠 PD 정규직 채용 | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0022 | 루미호스피탈리티 | [슈가스컬 센트럴시티점] 홀,주방 정직원 모집 | 5시간 전 등록
[2025-06-26 06:00:18] INFO - 0023 | ㈜케이에프씨코리아 | [KFC] 직영점(일산/김포/파주) 정규직 매니저 채용 | 5시간 전 등록
[2025-06-26 06:00:19] INFO - 0024 | 루미호스피탈리티 | [슈가스컬 종로점] 주방/홀 캡틴, 사원 모집 | 5시간 전 등록
[2025-06-26 06:00:19] INFO - 0025 | ㈜케이에프씨코리아 | [KFC] 직영점(제주) 정규직 매니저 채용 | 5시간 전 등록
