[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:00:55] INFO - 0001 | 이이팔서울 | [AE] 입찰 제안서 기반 콘텐츠 AE 모집 /영상 기획 경험자 우대 | 54분 전 등록
[2025-06-28 06:00:55] INFO - 0002 | 모닝캄커피랩 | [모닝캄커피랩] 연남점에서 바리스타 정직원을 채용합니다. | 4시간 전 등록
[2025-06-28 06:00:55] INFO - 0003 | 두잉씨앤에스 | [쿠팡 물류] 천안2FC 시설주임 모집 | 5시간 전 등록
[2025-06-28 06:00:55] INFO - 0004 | 에스비에스(SBS)아카데미뷰티미용학원 | 수강생관리&교육상담&마케팅&수강생모집 담당자 | 5시간 전 등록
[2025-06-28 06:00:55] INFO - 0005 | ㈜스카우트 | [서울 지역] 대기업임직원전용 피트니스 서브 트레이너 대모집 | 5시간 전 등록
[2025-06-28 06:00:55] INFO - 0006 | 빌려타렌트카 주식회사 | ㈜빌려타렌트카-CRM팀(매니저파트 : 차량관리 및 배회차 등) 정규직 채용 | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0007 | ㈜동규 | 생산팀 신입 정규 인원 채용 / 초보가능 | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0008 | ㈜스카우트 | [충남] 대기업피트니스센터서브트레이너 대모집 | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0009 | 피케이씨㈜ | PKC㈜ 신입/경력사원 모집 | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0010 | 아이비커리어㈜ | [종각역/성과급] 지에스건설 비서 채용(엑셀 가능자) | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0011 | ㈜제니엘 | [서울상상나라/7호선] 어린이 전시 박물관 현장관리자 채용 | 5시간 전 등록
[2025-06-28 06:00:56] INFO - 0012 | 기보메이트 | (주)기보메이트 보안미화팀 환경미화직[정규직-용인] 채용공고 | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0013 | ㈜유원커리어센터 | [LG이노텍 구미/월390만]스마트폰 부품 및 제조검사 | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0014 | ㈜유원커리어센터 | [LG이노텍 구미/월390만]카메라부품 및 제조검사 | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0015 | 엘비휴넷㈜ | [서울금천]LG유플유선상품상담/7월2일빠른입사/실력대로받는급여/교육 | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0016 | 오픈갤러리 | [오픈갤러리] IT팀 개발자 채용(일반 채용/병특 보충역) | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0017 | ㈜엠플라인 | [임원비서/신입/복지탑/사내문화탑]글로벌텍스프리 대표이사비서 공개채용 | 5시간 전 등록
[2025-06-28 06:00:57] INFO - 0018 | 오픈갤러리 | [오픈갤러리] 물류팀 staff 모집 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0019 | ㈜메타엠 | [놀유니버스/항공권예약] 신입도 가능한 1차 예약 관련 상담 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0020 | ㈜감정평가법인세종 | ㈜감정평가법인세종 감정평가 영업팀 모집 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0021 | 평촌교회 | 평촌교회(안양) 버스(대형) 운행 및 차량관리직 채용 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0022 | ㈜엠플라인 | [주4일/심야]iMBC 인코딩/영상 송출 담당자 채용 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0023 | 주식회사엔씨피에프엔씨 | [주5일]망원동 오시에서 함께할 동료를 찾습니다/연차/협의 가능 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0024 | ㈜유니에스 | [계약직] (주)유니에스 인사/일반사무 담당자 채용 | 5시간 전 등록
[2025-06-28 06:00:58] INFO - 0025 | 현대위아㈜ | 현대위아 경력채용 - TMS 영업 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0026 | ㈜맨토스파워 | [구로구/계약직] TP Living(태평양물산) 온라인MD 채용 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0027 | 플로우교육㈜ | [수학의아침] 입시전략연구소 대입시센터 입시컨설턴트 모집 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0028 | 보보스링크㈜ | [경력6개월이상] 채널A [4인용식탁] 프로그램 조연출AD 모집 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0029 | ㈜일룸엔데스커 | iloom 일룸 제주점 가구판매 영업사원을 모집합니다 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0030 | 에이스휴먼파워㈜ | [긴급/연3,200만/군포] 런드리고 야간 채용 /단순/식사O/정규직전환 | 5시간 전 등록
[2025-06-28 06:00:59] INFO - 0031 | ㈜경포씨엔씨 | [가산디지털단지/독산]캐피탈 할부/리스 U2L PJT 개발자 모집/ProC | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0032 | 앰틱스바이오 | 생산(제조 part) 신입 채용 | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0033 | 에이스휴먼파워㈜ | [신한카드/영등포/단기미납 상담사] 높은급여 / 채권상담 / 콜 경력 우대 | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0034 | ㈜유리원 | (주)유리원에서 브랜드, 디자인콘텐츠 시각 디자이너를 채용합니다 | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0035 | ㈜케이씨엠에스 | 강남 HCG인사관리 시스템 운영 (t09) | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0036 | ㈜맨토스파워 | [구로구/계약직] TP Living(태평양물산) 쇼핑몰 웹디자인 채용 | 5시간 전 등록
[2025-06-28 06:01:00] INFO - 0037 | 씨케이코퍼레이션즈㈜ | [커피업계30년/안정적/워라밸/직원복지/조직문화] 브런치카페 쉐프 모집 | 5시간 전 등록
[2025-06-28 06:01:01] INFO - 0038 | 인트로맨㈜ | [한국수자원조사기술원/공공기관/일산/실업급여/6개월] 수문 현장조사 업무 | 5시간 전 등록
[2025-06-28 06:01:01] INFO - 0039 | 국도화학㈜ | [국도화학] 해외영업 경력사원 채용 | 5시간 전 등록
[2025-06-28 06:01:01] INFO - 0040 | ㈜잡스테이션 | [주간고정-셔틀운행-상하차사원모집]사무용품 음성물류 | 5시간 전 등록
[2025-06-28 06:01:01] INFO - 0041 | 유안타증권㈜ | 유안타증권 해외투자전략팀 신입/경력직원 채용 | 5시간 전 등록
[2025-06-28 06:01:01] INFO - 0042 | ㈜잡스테이션 | [기본급/월250]주간고정-피킹/사무용품물류센터/진천/자차필수 | 5시간 전 등록
