[2025-06-29 06:00:02] INFO - 🔧 Logging initialized
[2025-06-29 06:00:02] INFO - 프로그램 시작됨
[2025-06-29 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-29 06:00:18] INFO - 🔢 총 공고 수: 174000건 → 최대 페이지 수: 3480 페이지
[2025-06-29 06:00:18] INFO - 
📄 현재 페이지: 1
[2025-06-29 06:00:19] INFO - 0001 | 도정육관 | 강남역 도정육관에서 인력을 모집합니다 . (홀/주방) | 5시간 전 등록
[2025-06-29 06:00:19] INFO - 0002 | 비욘드코리아 | 수출 업무 유 경험자 우대 합니다. | 5시간 전 등록
[2025-06-29 06:00:19] INFO - 0003 | 인커넥트 | [집에서근무하세요(교육첫날만 센터출근)/야간4Hor8H]-쿠팡이츠 재택상담 | 5시간 전 등록
[2025-06-29 06:00:19] INFO - 0004 | 인커넥트 | [집에서근무하세요(교육첫날만 센터출근)/야간4H,8H] 쿠팡이츠 재택상담 | 5시간 전 등록
[2025-06-29 06:00:19] INFO - 0005 | ㈜ 데이터메이커 | ML Engineer | 5시간 전 등록
[2025-06-29 06:00:19] INFO - 0006 | ㈜ 데이터메이커 | 백엔드 개발자 | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0007 | 리드커리어 주식회사 | [신입환영/입사축하금 100만] 쿠팡이츠 영업직 대규모 채용 본사 근무 | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0008 | ㈜메타엠 | [ 월-금/ 이번기수만 정착금지급 ] 삼성화재 사고/고장접수 정규직 채용 | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0009 | ㈜ 데이터메이커 | 프론트엔드 개발자 | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0010 | 트랜스코스모스코리아 | [평일근무] 카카오 선물하기 고객센터 관리자 팀장/강사 채용 Zm7A | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0011 | ㈜케이티아이에스 | [최대 281만] NH농협 금융사 QA강사 채용 | 5시간 전 등록
[2025-06-29 06:00:20] INFO - 0012 | ㈜케이티아이에스 | [최대281만] NH농협 금융사 교육강사 채용 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0013 | ㈜ 데이터메이커 | 서버 및 인프라 개발자 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0014 | ㈜파인스태프 | [SK렌터카] 경주지점 주5일 차량관리사원 모집/1종면허소지자/스케줄근무 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0015 | ㈜ 데이터메이커 | DevOps 개발자 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0016 | ㈜파인스태프 | [SK렌터카 부산지점] 주5일 차량관리사원 채용 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0017 | 리드커리어 주식회사 | 한성자동차 벤츠 수도권 각 전시장 차량 내부 기능 전문가 채용[초보가능] | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0018 | 리드커리어 주식회사 | 한성자동차 벤츠 수도권 각 전시장 Product Expert 채용 | 5시간 전 등록
[2025-06-29 06:00:21] INFO - 0019 | ㈜ 데이터메이커 | 웹 그래픽(F/E)개발자 | 5시간 전 등록
[2025-06-29 06:00:22] INFO - 0020 | ㈜제이앤비컨설팅 | [J&B컨설팅] 현대캐피탈 AUTO자산운영팀 사무지원(비용정산처리) 채용 | 5시간 전 등록
