[2025-07-02 06:00:01] INFO - 🔧 Logging initialized
[2025-07-02 06:00:01] INFO - 프로그램 시작됨
[2025-07-02 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-02 06:00:15] INFO - 🔢 총 공고 수: 170585건 → 최대 페이지 수: 3412 페이지
[2025-07-02 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-02 06:00:15] INFO - 0001 | ㈜멜리언스 | [멜리언스] 온라인 MD 채용 | 1시간 전 등록
[2025-07-02 06:00:16] INFO - 0002 | ㈜멜리언스 | [멜리언스] 온라인 MD 채용 | 1시간 전 등록
[2025-07-02 06:00:16] INFO - 0003 | ㈜선정인터내셔날 | [임원비서] KT 광화문사옥 비서 경력/신입 | 5시간 전 등록
[2025-07-02 06:00:16] INFO - 0004 | 에스엠서치플러스㈜ | U-08 / 화상면접-송내역 [재택가능/이용권지급] 넷플릭스 일본어상담 | 5시간 전 등록
[2025-07-02 06:00:16] INFO - 0005 | 에스엠서치플러스㈜ | J-17 남구로역-3일교육 [적은콜수/13-22시] POS/키오스크 관제 단순상담 | 5시간 전 등록
[2025-07-02 06:00:16] INFO - 0006 | 에스엠서치플러스㈜ | M-M 판교역 [일반고객대상 아님] SKT 대리점&고객센터 전산업무 지원 | 5시간 전 등록
[2025-07-02 06:00:16] INFO - 0007 | 미래비전 | 코써/PCB전공정생산/3조2교대/SMT OP등/우수대기업/기숙사가능 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0008 | 미래비전 | 여주/S/S/현대차1차/PCB제조/야간고정/2교대/내국인/외국인/기숙사 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0009 | 인텔렉추얼데이터㈜ | [빅데이터/SW] 디지털마케팅/홍보 담당자 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0010 | 이루 | 능력있는 푸드스타일리스트 구합니다 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0011 | ㈜아이디어키 | (주)아이디어키 퍼포먼스 마케팅 본부 경력 채용 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0012 | ㈜아이디어키 | (주)아이디어키 회계팀 급여파트 경력 채용 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0013 | 유안타증권㈜ | 유안타증권 FICC운용팀 신입 업무직원 채용 | 5시간 전 등록
[2025-07-02 06:00:17] INFO - 0014 | 인커넥트 | [선릉역/신입정착지원금 총300만/교육5일]-SBI저축은행 순수인바운드 상담 | 5시간 전 등록
[2025-07-02 06:00:18] INFO - 0015 | 이케이맨파워주식회사 | [금정구] [세정그룹] 중식제공 / 쇼핑몰 온라인 CS사원 | 5시간 전 등록
[2025-07-02 06:00:18] INFO - 0016 | 애커튼테크놀로지서비스 | [SK(주) AX 자회사] ERP부문 25년 상반기 경력사원 모집 | 5시간 전 등록
[2025-07-02 06:00:18] INFO - 0017 | 애커튼테크놀로지서비스 | [SK(주) AX 자회사] ICT부문 25년 상반기 경력사원 모집 | 5시간 전 등록
