[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:20] INFO - 0001 | 에이치알에스코리아 | [KT부산본부 (KT그룹 정규직)] 핸드폰(더쉬운) 요금제 변경처리 및 상담 | 4시간 전 등록
[2025-07-03 06:00:20] INFO - 0002 | 에이치알에스코리아 | [KT호남본부 (KT그룹 정규직)] 핸드폰 요금제 전산변경처리 및 상담 | 4시간 전 등록
[2025-07-03 06:00:20] INFO - 0003 | 에이치알에스코리아 | [KT전주본부(KT그룹 정규직)] 유선그룹(요금제변경), CRG그룹(해지관련) | 4시간 전 등록
[2025-07-03 06:00:20] INFO - 0004 | ㈜엠피시테크놀로지코리아 | (경력)프로브 카드 장비 엔지니어 | 5시간 전 등록
[2025-07-03 06:00:20] INFO - 0005 | ㈜엠피시테크놀로지코리아 | (신입경력무관)프로브 카드 테스트 엔지니어 | 5시간 전 등록
[2025-07-03 06:00:20] INFO - 0006 | ㈜엠피시테크놀로지코리아 | (신입경력무관)프로브 카드 기계 설계 엔지니어 | 5시간 전 등록
[2025-07-03 06:00:21] INFO - 0007 | ㈜케이티리빙 | kt living (KT그룹) 임대주택운영관리 PMer 직원(프로젝트계약직)채용 | 5시간 전 등록
[2025-07-03 06:00:21] INFO - 0008 | 지피앤피 | ㈜지피앤피 기획&회계관리 채용 | 5시간 전 등록
[2025-07-03 06:00:21] INFO - 0009 | 데이즈엔터㈜ | [데이즈엔터]웹소설 만화 웹툰 정산담당자 채용 | 5시간 전 등록
[2025-07-03 06:00:21] INFO - 0010 | 하루플란트 치과의원 | [강남역] 하루플란트치과 콘텐츠 마케터 채용 | 5시간 전 등록
[2025-07-03 06:00:21] INFO - 0011 | ㈜누리아이엔에스 | 다이렉트 자동차보험 상담 및 체결/ 보험영업아님 | 5시간 전 등록
