[2025-07-04 06:00:02] INFO - 🔧 Logging initialized
[2025-07-04 06:00:02] INFO - 프로그램 시작됨
[2025-07-04 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-04 06:00:15] INFO - 🔢 총 공고 수: 177802건 → 최대 페이지 수: 3557 페이지
[2025-07-04 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-04 06:00:16] INFO - 0001 | 미래비전 | 구로구/당근마켓/중고거래/동네생활/신고팀등/출퇴근 | 3시간 전 등록
[2025-07-04 06:00:16] INFO - 0002 | ㈜브레인풀 서울지점 | [ 과천 / JW중외제약 ] 학술임상팀 연구비 관리자(월 252만이상/중식제공) | 4시간 전 등록
[2025-07-04 06:00:16] INFO - 0003 | ㈜브레인풀 서울지점 | [ 과천 / 신사옥 ] JW생활건강 경영관리팀 사무보조 채용(월 252만이상) | 4시간 전 등록
[2025-07-04 06:00:16] INFO - 0004 | ㈜에이치이오디 | 브런치카페 heod 해옫 주방 직원분을 구인합니다. | 4시간 전 등록
[2025-07-04 06:00:16] INFO - 0005 | ㈜마로 | 연봉4천-5천/송도동/주간/주5일 - 대표님 수행기사 모집 | 4시간 전 등록
[2025-07-04 06:00:16] INFO - 0006 | 최선 정형외과의원 | [나주/9월1일 개원예정] 진료지원팀 인재 모집 | 4시간 전 등록
[2025-07-04 06:00:17] INFO - 0007 | 최선 정형외과의원 | [나주/9월1일 개원예정] 행정직 인재 모집 | 5시간 전 등록
[2025-07-04 06:00:17] INFO - 0008 | 블랑제HS이학순베이카리 | 블랑제HS에서 생산부 경력자 제빵사 모집합니다 | 5시간 전 등록
[2025-07-04 06:00:17] INFO - 0009 | (주)맨파워코리아 | [장성/초보가능]식자재 물류 단순 분류 및 피킹 직원 채용(2) | 5시간 전 등록
[2025-07-04 06:00:17] INFO - 0010 | (주)맨파워코리아 | [광주하남/주5일/초보가능]월270이상가능 물류창고 입출고 관리2 | 5시간 전 등록
[2025-07-04 06:00:17] INFO - 0011 | 타임리턴의원 | 일급13m) 7/4 디자이너 아르바이트 구인 | 5시간 전 등록
[2025-07-04 06:00:17] INFO - 0012 | 펠릭스랩 | 생산 지원 담당자 | 5시간 전 등록
[2025-07-04 06:00:18] INFO - 0013 | 펠릭스랩 | CS/물류 담당자 | 5시간 전 등록
[2025-07-04 06:00:18] INFO - 0014 | 펠릭스랩 | 브랜드디자이너 | 5시간 전 등록
