[2025-07-05 06:00:02] INFO - 🔧 Logging initialized
[2025-07-05 06:00:02] INFO - 프로그램 시작됨
[2025-07-05 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-05 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-05 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-05 06:01:26] INFO - 🔢 총 공고 수: 179704건 → 최대 페이지 수: 3595 페이지
[2025-07-05 06:01:26] INFO - 
📄 현재 페이지: 1
[2025-07-05 06:01:27] INFO - 0001 | kirotti (기로띠) | 용인 기로띠 카페 바리스타 정규직 채용 | 3시간 전 등록
[2025-07-05 06:01:27] INFO - 0002 | 인사이트365 | 개발 및 PM/PL 모집(재택근무) | 5시간 전 등록
[2025-07-05 06:01:27] INFO - 0003 | 글로벌JMT | [ 1조 매출/ 상여금 300/ 주급가불 450] 커플 / 좌식근무/최종검사 | 5시간 전 등록
[2025-07-05 06:01:27] INFO - 0004 | 글로벌JMT | [ 1조 매출/ 상여금 300/ 주급가불 450] 커플 / 당일 즉시입사/최종검사 | 5시간 전 등록
[2025-07-05 06:01:27] INFO - 0005 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면화상면접/ 대기업계약직/ 월390만 | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0006 | ㈜스카우트 | [용인남사/생산직 대모집] 오퍼레이터 / 신입가능 / 상여200프로 | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0007 | ㈜스카우트 | [삼성전자 / 1개월 단기] 모바일 신제품 홍보지원 담당자 모집 | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0008 | 퍼펙트커리어㈜ | ㅣ연봉4500ㆍ상여금150ㆍ명절보너스ㅣ창립29주년 특별공채모집 | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0009 | 제이앤씨㈜ | [선릉 중견기업]경영지원팀 사무보조(인사/총무/전산) | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0010 | 보보스링크㈜ | [납양읍/단순배송/월290] 제약회사 배송 사원 모집 (하루 1,2건 배송) | 5시간 전 등록
[2025-07-05 06:01:28] INFO - 0011 | 인커넥트 | [8월말or9월말 선택해서 근무하세요/근무시간도 선택]-삼성전자 단기상담 | 5시간 전 등록
