[2025-07-07 06:00:01] INFO - 🔧 Logging initialized
[2025-07-07 06:00:02] INFO - 프로그램 시작됨
[2025-07-07 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-07 06:00:15] INFO - 🔢 총 공고 수: 172779건 → 최대 페이지 수: 3456 페이지
[2025-07-07 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-07 06:00:15] INFO - 0001 | 게임스틱 | [게임스틱] 대회 기획 운영 및 행사 프로젝트 매니저 | 2시간 전 등록
[2025-07-07 06:00:16] INFO - 0002 | 미래비전 | 금천구/LG U/고객응대사원대모집/성별무관/출퇴근 | 3시간 전 등록
[2025-07-07 06:00:16] INFO - 0003 | 미래비전 | 천안/MEC/메모리부품생산/출퇴근/K-1/OLED액정생산/사내기숙사 | 3시간 전 등록
[2025-07-07 06:00:16] INFO - 0004 | 글로벌JMT | [안성정규직/ 설비경력인정/ 사내기숙사 무료] 최고복지/ 제조/ 생산 품질 | 5시간 전 등록
[2025-07-07 06:00:16] INFO - 0005 | 글로벌JMT | [안성정규직/ 설비경력인정/ 사내기숙사 무료] 최고복지/ 제조/ 생산제조 | 5시간 전 등록
[2025-07-07 06:00:16] INFO - 0006 | 글로벌JMT | [안성정규직/ 설비경력인정/사내기숙사 무료] 최고복지/ 제조/ 3조2교대 | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0007 | 글로벌JMT | [천안정규직] 천안디스플레이/최강복지/사내기숙사/삼성협력2인실 | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0008 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면화상면접 /대기업계약직/ 월390 | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0009 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면면접 /대기업계약직/ 월390만 | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0010 | ㈜에이치앤티아웃소싱시스템 | [높은연봉/정규직] LG유플러스 대표전화 사원 대규모 모집(신입/경력) | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0011 | ㈜선정인터내셔날 | [수행기사/강남구] KT 임원운전 경력직 | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0012 | 인커넥트 | [영등포역/고정급240만 외/상담경력1년이상]-신세계여행 상담센터(교육3일) | 5시간 전 등록
[2025-07-07 06:00:17] INFO - 0013 | 인커넥트 | [을지로3가/교육3일(대표번호 문의상담)/신입가능]-뉴스킨코리아 고객센터 | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0014 | 인커넥트 | [1개월or2개월 단기(60명)/신입가능/올해마지막채용]-삼성전자 AS접수상담 | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0015 | Letswork | 초보가능/정규직채용[원주단구동]KT고객센터 인바운드상담원모집-신입/경력 | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0016 | Letswork | 초보가능/정규직채용[고양삼송역]KT고객센터 인바운드상담원모집-신입/경력 | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0017 | 콜로세움코퍼레이션 | 컨텐츠 마케팅 및 디지털 광고담당(주니어급) | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0018 | 주식회사위드앤피플코리아 | 경영지원팀(아웃소싱관리자/잡매니저)정규직사원채용-(주)위드앤피플코리아 | 5시간 전 등록
[2025-07-07 06:00:18] INFO - 0019 | ㈜선정인터내셔날 | [분당/판교] KT 본사 임원비서 | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0020 | 콜로세움코퍼레이션 | GlobalB2B Marketing 담당자 | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0021 | 퍼펙트커리어㈜ | ㅣ가불300ㆍ상여300ㆍ동종업계 1위ㅣ창립26주년 인천대기업 특별공채 | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0022 | 하랑 | [주말근무/대학생/투잡 가능] LG유플러스 기술지원 업무 | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0023 | 콜로세움코퍼레이션 | 서비스 및 시스템 기획/PM (Senior) | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0024 | 하랑 | [전주센터/면접비 지급] LG유플러스 고객지원 안내 쉬운 업무 [월-금] | 5시간 전 등록
[2025-07-07 06:00:19] INFO - 0025 | 하랑 | [에이닷 창원상남지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0026 | 콜로세움코퍼레이션 | CRM 구축/관리 담당 | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0027 | 하랑 | [에이닷 광주일곡지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0028 | ㈜제이앤비컨설팅 | (고정급254만/영등포시장) 한국우편사업진흥원 재무관리팀 직원 모집 | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0029 | ㈜케이티씨에스 | [ktcs정규직/신림] 신일전자 고객센터 상담사 모집 | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0030 | 콜로세움코퍼레이션 | Product 마케팅 Team Lead | 5시간 전 등록
[2025-07-07 06:00:20] INFO - 0031 | 남이섬 | 나미나라공화국 남이섬, 부문별 신입 및 경력 채용(호텔 부문) | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0032 | ㈜제이앤비컨설팅 | (여의도/현대카드) CLM팀 마케팅 운영관리 사무직 채용-면접7/14 | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0033 | 남이섬 | 나미나라공화국 남이섬, 부문별 신입 및 경력 채용(고객서비스 부문) | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0034 | ㈜제이앤비컨설팅 | (여의도/현대카드/PLCC사업1팀) 마케팅 운영 지원 사무직 채용-면접7/15 | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0035 | 남이섬 | 나미나라공화국 남이섬, 부문별 신입 및 경력 채용(선박 승무 부문) | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0036 | 남이섬 | 나미나라공화국 남이섬, 부문별 신입 및 경력 채용(기술 부문) | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0037 | ㈜인커넥트 | [전포동/최고의 복지/월평균270만/부서선택] LG헬로비전 고객센터 상담 | 5시간 전 등록
[2025-07-07 06:00:21] INFO - 0038 | 케이티씨에스㈜ | (주)케이티씨에스 상권매니저 운영센터 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0039 | 파크스튜디오 | 드라마 의상팀 계약직 의상 디자이너 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0040 | 휴로넷 | SK텔레콤 본사 수행기사 채용 [ 차고지 : 용산구] | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0041 | 비스포크랩㈜ | [비스포크랩] OTT 청각장애인용 한국어 자막 감수자 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0042 | ㈜골든듀 | ㈜골든듀 그래픽/웹 디자이너, VM 경력 및 인턴 채용 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0043 | ㈜에이치엔서브 | [7월18일(금)면접/정착금지급/급여인상예정] 하나은행 청약,예금, TM안내 | 5시간 전 등록
[2025-07-07 06:00:22] INFO - 0044 | 비스포크랩㈜ | [OTT 자막 프로젝트] 한국어 자막 PM 채용 | 5시간 전 등록
[2025-07-07 06:00:23] INFO - 0045 | ㈜테이스터스 | [주5일/주2회 휴무] 바스버거 직영점 직원 채용[역삼점/여의도점/성수점] | 5시간 전 등록
