[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:16] INFO - 0001 | 구인구직센터 | LG이노텍/구미/스마트폰부품제조,검사원모집/신입가능/월390만/숙소제공 | 24분 전 등록
[2025-07-08 06:00:16] INFO - 0002 | 에이치알에스코리아 | SSG닷컴 수원센터(추후 재택가능) / 쇼핑몰 CS관련 담당자 모집 | 5시간 전 등록
[2025-07-08 06:00:16] INFO - 0003 | 에이치알에스코리아 | 코웨이 공주본부/ 정수기 렌탈제품 AS접수 및 정보변경, 정기점검 등 상담 | 5시간 전 등록
[2025-07-08 06:00:16] INFO - 0004 | 에이치알에스코리아 | 카카오뱅크 홍대센터(휴일근무X)/ 은행앱 사용관련 전산처리 상담 | 5시간 전 등록
[2025-07-08 06:00:16] INFO - 0005 | 에이치알에스코리아 | [KT제주 (KT그룹 정규직)] TV인터넷 요금제 변경처리 및 상담 | 5시간 전 등록
[2025-07-08 06:00:16] INFO - 0006 | 글로벌JMT | [천안정규직] 천안디스플레이/최강복지/사내기숙사/삼성1차2인실 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0007 | 미래비전 | 평택/우수기업/콘텍트렌즈생산/3조2교대및주간고정/기숙사1인배정 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0008 | ㈜비바리퍼블리카 | [토스뱅크] Security Engineer (네트워크 보안) | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0009 | ㈜하나투어 | 하나투어 온라인 상품MD 경력직 수시채용 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0010 | ㈜코스메디슨 | (주)코스메디슨 SNS마케터 정규직 채용 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0011 | 농업회사법인과일꾼 | 온라인 식품 쇼핑몰 과일꾼 고객 상담 CS 및 사무보조 직원 채용 공고 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0012 | 디오디자인 | 인테리어 설계 및 블러그담당 모집 | 5시간 전 등록
[2025-07-08 06:00:17] INFO - 0013 | ㈜동화세상에듀코 | 온라인 마케팅부서 신입모집 마케팅 & 컨설팅 업무신입모집 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0014 | TOP ART 주식회사 | 물류팀 신입/경력 직원모집 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0015 | 주식회사 파수 | 마케팅/홍보 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0016 | ㈜인포벨리코리아 | 공공기관 응용SW개발자 신입/경력 채용 공고 - 서울 강서구 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0017 | ㈜금산엠엔이 | Railway/Industry 기술영업 신입 및 경력사원 모집 공고 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0018 | ㈜소노스퀘어 | 소노스퀘어 B2C영업 직무 경력직 채용 | 5시간 전 등록
[2025-07-08 06:00:18] INFO - 0019 | ㈜썸제이 | [여성의류 쇼핑몰 썸제이] 물류 정규직 인재 채용모집 | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0020 | ㈜바텍엠시스 | [장애인 전형] 회계 담당자 [계약직] | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0021 | ㈜바텍엠시스 | [장애인 전형] 웹디자이너 [계약직] | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0022 | ㈜바텍엠시스 | [바텍엠시스] 생산직 모집 (계약직) | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0023 | 크레스트랩㈜ | [레퍼럴1등/코인TM영업]자체유튜브DB지원/정착지원금/신입/경력/팀단위환영 | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0024 | ㈜도그지어 | [dogsear] 아트 디렉터 채용 | 5시간 전 등록
[2025-07-08 06:00:19] INFO - 0025 | 보람상조피플 주식회사 | 관리자 특별 채용 | 5시간 전 등록
[2025-07-08 06:00:20] INFO - 0026 | 에스케이쉴더스㈜ | [SK쉴더스] 이천지사 대한장애인체육훈련원 시설보안대원(BP3) 채용 | 5시간 전 등록
[2025-07-08 06:00:20] INFO - 0027 | ㈜티앤티컴퍼니 | 타낫 신세계백화점 센텀시티점 신입 정규직 채용 | 5시간 전 등록
[2025-07-08 06:00:20] INFO - 0028 | ㈜바이네츄럴 | 남양주 테이블스 라운지 제빵사,파티쉐 모집 | 5시간 전 등록
