[2025-07-09 06:00:01] INFO - 🔧 Logging initialized
[2025-07-09 06:00:02] INFO - 프로그램 시작됨
[2025-07-09 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-09 06:00:15] INFO - 🔢 총 공고 수: 179946건 → 최대 페이지 수: 3599 페이지
[2025-07-09 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-09 06:00:16] INFO - 0001 | 미래비전 | 우수기업/AP/PCB생산/SMT OP/3조2교대/사내기숙사무료 | 5시간 전 등록
[2025-07-09 06:00:16] INFO - 0002 | 타임리턴의원 | 주2회] 병원 디자인 및 영상디자인 담당하실 디자이너 구인 | 5시간 전 등록
[2025-07-09 06:00:16] INFO - 0003 | ㈜아데코코리아 | [신설동역, 복지우수] 한화생명 인바운드 상담사 모집 | 5시간 전 등록
[2025-07-09 06:00:16] INFO - 0004 | ㈜에프앤씨시스템 | 아워홈 한식당 손수헌 경력조리사 및 주방장 구인 | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0005 | 인커넥트 | [단순해피콜/약 1개월단기(8월말까지)]-LG전자 AS일정협의 관련 단순상담 | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0006 | ㈜인사이드잡 | [주5일/서초역,교대역] 본사 HR아웃소싱 사무보조 모집 (인사, 행정) | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0007 | ㈜트랜스코스모스코리아 | [삼성역/외국계회사/3,600만] 재무팀 사무지원 업무 | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0008 | 에이스휴먼파워㈜ | [현대카드/채권추심] 현대카드 대전Collection지점 채용 | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0009 | ㈜엠플라인 | [신세계강남/중국어/외국인응대/컨시어지]글로벌텍스프리 환급데스크 모집 | 5시간 전 등록
[2025-07-09 06:00:17] INFO - 0010 | ㈜메타엠 | [삼성화재] 보험금 납입안내 상담사원 채용 (영업X) | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0011 | 리드커리어 주식회사 | 벤츠 성산/성수 각 서비스센터 발렛직원채용 [월 225/워라벨] | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0012 | 리드커리어 주식회사 | [ 차고지 삼성동 ] 판교 반도체 회사 임원 수행기사 직원 채용 | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0013 | JMP코리아 | [드림앤캐쉬/초보가능] 부문별 채용 | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0014 | 리드커리어 주식회사 | 벤츠 수원/분당 서비스센터 안내데스크 직원 채용 [칼퇴/워라벨] | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0015 | 에이스휴먼파워㈜ | [국회의사당/높은급여/높은인센] 현대카드 단기미납상담사 채용(8월 입사) | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0016 | ㈜메타엠 | [정착지원금 50만] 간편결제, 소액결제 내역 문의응대 - KG모빌리언스 | 5시간 전 등록
[2025-07-09 06:00:18] INFO - 0017 | (주)에스아이엘(SIL Inc.) | [경영관리부 소속 / 식비 지원] 대표님 운전기사 & 사무 보조 채용 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0018 | 코웨이갤러리 | [코웨이갤러리] 코웨이 직영 매장 매니저 채용 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0019 | (주)에스아이엘(SIL Inc.) | [월 300 이상 / 식비 지원 / 복지 多] 11시 출근 헤드헌터 경력직 모집 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0020 | ㈜메타엠 | 의류쇼핑몰 인바운드 센터 관리자 채용 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0021 | ㈜선정인터내셔날 | [웹디자이너] NICE그룹 웹/앱 디자인 경력직 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0022 | 리드커리어 주식회사 | [재택/ 정규직전환] 쿠팡 본사 PBS조직 이커머스 사무보조 대규모채용 | 5시간 전 등록
[2025-07-09 06:00:19] INFO - 0023 | 에스와이모바일 | [성수동]KT 기업대리점 개통실 직원 채용 | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0024 | ㈜크러시제이 | 여성의류 쇼핑몰 MD 팀원/팀장 경력 모집 | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0025 | 동호에이치알㈜ | [KT계열사/리프레쉬휴가] 전산 및 전표처리 사무 지원 업무 | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0026 | 리드커리어 주식회사 | [재택/정규직전환]쿠팡 본사 PBS조직 이커머스 사무보조 대규모채용 | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0027 | 한국일보사 | 한국일보 채용연계형 인턴 취재기자 공개 채용 | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0028 | 휘슬링락컨트리클럽 | [태광그룹]휘슬링락컨트리클럽 프론트 정규직 직원 채용(신입/경력) | 5시간 전 등록
[2025-07-09 06:00:20] INFO - 0029 | ㈜선정인터내셔날 | [임원운전 경력직/강남구] KT 임원 수행기사 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0030 | ㈜아이더스에프앤비 | [푸라닭 치킨] 프랜차이즈 가맹 점포개발 프리랜서 채용 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0031 | 피엔에이링크 | [오스템임플란트/대전 서구] 충청남부영업본부 영업지원 사무직 채용 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0032 | 동호에이치알㈜ | [현대건설/중식제공] 채용지원 및 행정사무 등 인사팀 사무보조 채용 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0033 | ㈜제논컴애드 | 똑똑한 프리랜서 편집 디자이너 (카다로그/포스터/인디자인) 신입/경력 채용 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0034 | 아이비커리어㈜ | [강남] 제약회사 디자이너 모집 | 5시간 전 등록
[2025-07-09 06:00:21] INFO - 0035 | ㈜메타엠 | [관리자 채용] 케이카 고객센터 팀장 채용(12시출근) | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0036 | ㈜엑스포츠미디어 | 엑스포츠뉴스 연예부 인턴기자 채용 공고 | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0037 | 한일네트웍스㈜ | 한일네트웍스 UNIERP 유지보수 및 프로그램 개발자 모집 (신입) | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0038 | 제이앤비컨설팅 | [1개월-단기상담사] 하나카드 민생안정 소비쿠폰 단순안내 상담사 채용 | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0039 | ㈜잡스테이션 | [셔틀운행/아파트기숙사/주간고정-부품조립/대성보일러]음성 | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0040 | 분당서울대학교병원.인사팀 | 분당서울대학교병원 2026년도 신입 직원(간호직, 간호직 취업지원대상자) | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0041 | ㈜엠제이플렉스 | [상암/신입가능/에디터] iMBC 뉴스·시사 콘텐츠 편집 및 기사 관리 | 5시간 전 등록
[2025-07-09 06:00:22] INFO - 0042 | 아모스 용인점 | 살롱 어드바이저 (SA) 영업사원 모집 | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0043 | 동호에이치알㈜ | [과천/연3,000] 워라밸우수 건축사 주암동 현장 사무&경리 인재 채용 | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0044 | ㈜에프엔엘(FNL Inc.) | ㈜F&L INC. 의류 데님 생산 및 디자이너 채용 | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0045 | SK네트웍스서비스㈜ | 전기안전관리 및 전기차충전시설 점검 담당자 영입(계약직) | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0046 | ㈜선정인터내셔날 | [강릉/사무보조] 한국자산관리공사 | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0047 | 한화호텔앤드리조트㈜ | [더플라자 호텔] THE PLAZA 객실팀 휘트니스 여자사우나 어텐던트 신입사원 모집 | 5시간 전 등록
[2025-07-09 06:00:23] INFO - 0048 | 씨에이치솔루션㈜ | [부천역/정착지원금/경력수당] 브로드밴드TS 아웃바운드 모집 | 5시간 전 등록
[2025-07-09 06:00:24] INFO - 0049 | 서비스플랜코리아㈜ | 광고기획(AE) Digital & IMC : 경력 3-6년 차 모집 | 5시간 전 등록
[2025-07-09 06:00:24] INFO - 0050 | ㈜넷솔테크 | [㈜넷솔테크] 영업관리 및 영업지원 신입 / 경력직 채용 | 5시간 전 등록
[2025-07-09 06:00:24] INFO - ⏱ 3.02초 대기
[2025-07-09 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-07-09 06:00:28] INFO - 0051 | ㈜엠제이플렉스 | [YTN/주 3일/야간근무] 디지털 뉴스 기사 에디팅 담당 채용 | 5시간 전 등록
[2025-07-09 06:00:28] INFO - 0052 | 카카오뱅크 | STR 모니터링 담당자 (계약직) | 5시간 전 등록
[2025-07-09 06:00:28] INFO - 0053 | ㈜엠제이플렉스 | [JTBC/인제스트/주말근무] 외신영상/자료번역/외신모니터링 (영어필수) | 5시간 전 등록
[2025-07-09 06:00:28] INFO - 0054 | 다원코리아 | [대전지역] KB라이프 GA청약매니저/ 전산설계지원 사무직/ 경력모집 | 5시간 전 등록
[2025-07-09 06:00:28] INFO - 0055 | 카카오뱅크 | 금융업무 지원 담당자 - 국가보훈대상자 전형 (계약직) | 5시간 전 등록
[2025-07-09 06:00:28] INFO - 0056 | ㈜케이티아이에스 | [단기3개월/평일/17시퇴근] 레드캡렌터카 고객상담사 모집 | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0057 | 카카오뱅크 | 금융업무 지원 담당자 (계약직) | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0058 | ㈜맨파워코리아 | [여의도] 프랑스 패션/스포츠 기업 - Sales Planning Specialist(1.5년) | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0059 | ㈜엠제이플렉스 | [분당/대기업/교통비/중식제공/휴가비/상여] 두산에너빌리티 재무파트 서무 | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0060 | 주식회사 공간건축삼마 | 설계직원 구인(3년차 이상) | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0061 | ㈜메타엠 | [3개월단기/4시간파트] 케이카 차량구매 상담(접수자대상) | 5시간 전 등록
[2025-07-09 06:00:29] INFO - 0062 | 카카오뱅크 | 채권 추심 업무 담당자 (계약직) | 5시간 전 등록
[2025-07-09 06:00:30] INFO - 0063 | 아이비커리어㈜ | [여의도역] HMM 리셉션(안내데스크) 직원 채용 | 5시간 전 등록
[2025-07-09 06:00:30] INFO - 0064 | 한국항공우주산업㈜ | 생산 문서 작성 아르바이트 채용 (-07/13(일)) | 5시간 전 등록
[2025-07-09 06:00:30] INFO - 0065 | 피엔에이링크 | [코스닥상장사/을지로] 기업은행 통합자금관리프로그램 기술지원 | 5시간 전 등록
[2025-07-09 06:00:30] INFO - 0066 | ㈜와이케이건기 | YK건기 2025 하반기 공개채용 | 5시간 전 등록
