[2025-07-10 06:00:01] INFO - 🔧 Logging initialized
[2025-07-10 06:00:01] INFO - 프로그램 시작됨
[2025-07-10 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-10 06:00:21] INFO - 🔢 총 공고 수: 181828건 → 최대 페이지 수: 3637 페이지
[2025-07-10 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-10 06:00:22] INFO - 0001 | 미래비전 | 코써/우수기업/PCB전공정생산/3조2교대/SMT OP등/기숙사가능 | 2시간 전 등록
[2025-07-10 06:00:22] INFO - 0002 | 더벨로 | 제빵사 채용 합니다. | 3시간 전 등록
[2025-07-10 06:00:22] INFO - 0003 | 굿모닝 | 결혼정보 상담 커플매니저 여자로서 더없이 좋은직업 (대전광역시) | 4시간 전 등록
[2025-07-10 06:00:22] INFO - 0004 | ㈜마른파이브 | [커머스/성수동] 공식몰 MD 및 마케터 정규직 채용 | 4시간 전 등록
[2025-07-10 06:00:22] INFO - 0005 | 스트레잇㈜ | [초기 동료]온라인 쇼핑몰 콘텐츠 마케터 | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0006 | ㈜케이씨엠에스 | 분당 솔루션사 AI플랫폼 개발과제 (t08) | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0007 | 김포시노인복지회관 | 김포시노인종합복지관 계약직 경로식당 취사보조원 채용 공고 | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0008 | (주)멀티캠퍼스 | 삼성전자 전자상품/CS 강사 채용 (계약직, 서울 & 수원) | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0009 | (사) 한국지체장애인협회제주도협회 | (사)제주특별자치도지체장애인협회 직원(초록여행) 채용 재공고 | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0010 | 한국정보통신기술협회 | 2025년도 한국정보통신기술협회(TTA) 협회 직원 채용(위촉) | 5시간 전 등록
[2025-07-10 06:00:23] INFO - 0011 | 서초구육아종합지원센터 | 서초구육아종합지원센터 직원채용 공고 (대체교사-계약직) | 5시간 전 등록
[2025-07-10 06:00:24] INFO - 0012 | 에프엔바이오㈜ | 기계조작 오퍼레이터 모집 | 5시간 전 등록
[2025-07-10 06:00:24] INFO - 0013 | ㈜원정대 | [연2,920만 이상/식대/주35] 이커머스 브랜드 광고 영상 편집자 채용 | 5시간 전 등록
[2025-07-10 06:00:24] INFO - 0014 | 에스케이바이오사이언스㈜ | 25년 3분기 신입/경력사원 수시채용 | 5시간 전 등록
[2025-07-10 06:00:24] INFO - 0015 | 비알코리아㈜ | 비알코리아 각 부문 경력사원 모집 | 5시간 전 등록
[2025-07-10 06:00:24] INFO - 0016 | 슬코 | [인천영종도] 테마파크 슬라라 -매장관리 매니저 정규직 | 5시간 전 등록
