[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:19] INFO - 0001 | JMP코리아 | 판교SK계열사 직원대상 OA기기 유지보수[경력자 환영/실업급여 가능] | 5시간 전 등록
[2025-07-11 06:00:19] INFO - 0002 | JMP코리아 | [식사제공/실업급여 가능] 판교SK계열사 직원대상 OA기기 유지보수 | 5시간 전 등록
[2025-07-11 06:00:19] INFO - 0003 | 리드커리어 주식회사 | [ 차고지 삼성동, 워라벨上 ] 판교 인근 회사 임원 수행기사 직원 채용 | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0004 | 에이스휴먼파워㈜ | [채권추심/높은급여/담보채권] 현대캐피탈 포항Collection지점 채용 | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0005 | 애드민 | [현대카드] 안양collection지점 채권추심원 채용 (경력자우대) | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0006 | ㈜에프앤씨시스템 | [FNC] 본사 물류 운영 관리자 채용 | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0007 | ㈜에프앤씨시스템 | [아워홈 자회사] 본사 안전관리팀 팀원 채용(신입 가능) | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0008 | ㈜아람인테크 | 딤섬의 여왕 정지선 chef [ 티엔미미 ] 정직원 채용 / 강남&홍대점 | 5시간 전 등록
[2025-07-11 06:00:20] INFO - 0009 | ㈜엠제이플렉스 | [판교역/SK계열사/복지우수] SK플래닛 본사 임원비서 채용 | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0010 | ㈜아데코코리아 | [광화문/라이나생명] 디지털 채널/플랫폼 운영 담당자 1-3년 경력자 채용 | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0011 | 애드민 | [월350만/복지최고/정기휴가별도] 현대카드 단기채권회수직 채용 | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0012 | 리드커리어 주식회사 | [재택/ 정규전환] 쿠팡 본사 PBS조직 이커머스 사무보조 대규모 채용 | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0013 | 돌체앤가바나 코리아(유) | 돌체앤가바나코리아 청담플래그십 MTM Spe. | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0014 | ㈜윌앤비전 | 우리카드 차량 서류 관련 인바운드 상담 | 5시간 전 등록
[2025-07-11 06:00:21] INFO - 0015 | ㈜제이앤비컨설팅 | (현대카드/안양지점) 채권추심 경력직 채용- 면접7/21 | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0016 | 돌체앤가바나 코리아(유) | 롯데백화점 광주점 Client Advisor | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0017 | ㈜에스이에이치인터내셔널 | [쥬비스 왕십리점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0018 | 돌체앤가바나 코리아(유) | 롯데백화점 광주점 부점장 | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0019 | 에이스휴먼파워㈜ | [대기업/금융사/영업X] 울산점 롯데카드 데스크 사무직 채용 | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0020 | 돌체앤가바나 코리아(유) | 대전갤러리아타임월드 ClientAdvisor | 5시간 전 등록
[2025-07-11 06:00:22] INFO - 0021 | 애드민 | [월400/복지최고] 현대캐피탈 분당collection지점 채권추심원 채용 | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0022 | 돌체앤가바나 코리아(유) | 대전 갤러리아 타임월드점 부점장 | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0023 | 돌체앤가바나 코리아(유) | 신세계백화점 대전점Client Advisor | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0024 | 돌체앤가바나 코리아(유) | 서울권 매장 점장/부점장 | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0025 | 돌체앤가바나 코리아(유) | 롯데백화점 본점 Client Advisor | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0026 | ㈜아람인테크 | 딤섬의 여왕 정지선 셰프의 [ 티엔미미 ] 정직원 채용 / 최고복지 보장 | 5시간 전 등록
[2025-07-11 06:00:23] INFO - 0027 | 더블유컨셉코리아 | 광고상품 기획담당자 | 5시간 전 등록
[2025-07-11 06:00:24] INFO - 0028 | 더블유컨셉코리아 | 컨텐츠 에디터 | 5시간 전 등록
[2025-07-11 06:00:24] INFO - 0029 | ㈜명진강업 | 무역부 채용공고 : 해외무역 영업관리 (계약,선적,통관) | 5시간 전 등록
[2025-07-11 06:00:24] INFO - 0030 | ㈜미디어렙에이 | 미디어렙A 브랜디드 협찬 및 광고영업 경력사원 모집 | 5시간 전 등록
