[2025-07-12 06:00:01] INFO - 🔧 Logging initialized
[2025-07-12 06:00:02] INFO - 프로그램 시작됨
[2025-07-12 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-12 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-12 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-12 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-12 06:00:53] INFO - 🔢 총 공고 수: 183029건 → 최대 페이지 수: 3661 페이지
[2025-07-12 06:00:53] INFO - 
📄 현재 페이지: 1
[2025-07-12 06:00:53] INFO - 0001 | 투아투아(tour a tour) | 천연발효종 베이커리 카페 투아투아에서 -베이커리/키친 팀원-모집합니다 | 4시간 전 등록
[2025-07-12 06:00:53] INFO - 0002 | ㈜잡플러스코리아 | [SM엔터테인먼트] 기업회계 담당자 채용-경력우대 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0003 | ㈜잡플러스코리아 | [에스팀웍스] 글로벌 패션/이벤트 기획자 모집 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0004 | ㈜잡플러스코리아 | [에스팀그룹] 글로벌 엑셀러레이터 매니저 모집 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0005 | ㈜스카우트 | [용인남사/생산직] 분야 선택 가능 / 상여200프로 / 즉시근무 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0006 | ㈜스카우트 | [안양/중견기업] 자동차 부품 R&D 사무보조 채용 / 6개월 단기 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0007 | ㈜케이티씨에스 | [2개월/계약직] 스포츠강좌이용권 콜센터 단기 인바운드 상담사 모집 | 5시간 전 등록
[2025-07-12 06:00:54] INFO - 0008 | 리드커리어 주식회사 | [식대지급/연3000만/재택병행] 지그재그 라이프 AMD 채용 | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0009 | ㈜유원커리어센터 | [LG이노텍 구미/월390만]스마트폰 부품 및 제조검사원 | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0010 | 에이스휴먼파워㈜ | [대기업]흥국생명보험 임원 수행기사 [차고지 : 반포 / 사무실 : 종로] | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0011 | ㈜에스이에이치인터내셔널 | [쥬비스 여의도] 고객 응대 및 관리 컨시어지 채용합니다 (주5일/주말휴무) | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0012 | ㈜멘토커리어 | [주5일/장호원] 물류센터 사무직 사원 채용 | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0013 | ㈜케이티아이에스 | kt estate 광진 이스트폴 주차관리(운영팀) 모집 | 5시간 전 등록
[2025-07-12 06:00:55] INFO - 0014 | ㈜스카우트 | [화성] 신입가능 / 즉시근무 / 자동차 부품 관련 간단 검수업무 | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0015 | 주식회사 엠피씨플러스 | [정규/스펙업] 토스뱅크 간단문의 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0016 | ㈜트랜스코스모스코리아 | [주5일/사무] 더케이교직원나라 사무보조 모집 | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0017 | ㈜동양이엠에스 | [더현대서울/중식제공] 틸화이트 바리스타 모집(정규) | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0018 | 리드커리어 주식회사 | [잠실역]IT자산관리 실무자라면`클릭`쿠팡 본사 단기프로젝트 채용 | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0019 | 에스엠케이 | 시화공단 BBT 검사원 샘플 수입출하 사원모집 (기숙사/통근버스/상여금) | 5시간 전 등록
[2025-07-12 06:00:56] INFO - 0020 | ㈜엠제이플렉스 | [조연출/예능시사교양] `용감한형사들` `형수다` 제작 외주사 조연출 채용 | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0021 | ㈜유니에스 | [일산드림센터/MBC C&I] / AIXR 콘텐츠팀 사무보조 채용/격주 4.5일제시행 | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0022 | ㈜에스이에이치인터내셔널 | [주5일/스케줄근무] 테라로사 세브란스점 바리스타 정직원 채용 | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0023 | ㈜에스이에이치인터내셔널 | [미쁘동 연남점] 주방, 홀 정직원 채용합니다 (주5일 스케줄 근무) | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0024 | ㈜메타엠 | [채팅.유선/월고정 260만] 휴대폰 보험(분실,파손)관련 안내 | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0025 | ㈜스카우트 | [범계역/정규직] 유선 신청고객 내용 확인 및 전산업무 | 5시간 전 등록
[2025-07-12 06:00:57] INFO - 0026 | 아이비커리어㈜ | [공공기관] 상공회의소 원산지증명센터 무역 사무직 채용 | 5시간 전 등록
[2025-07-12 06:00:58] INFO - 0027 | ㈜케이티씨에스 | [kt cs 정규직/영업X] 신한EZ손해보험 콜센터 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-12 06:00:58] INFO - 0028 | ㈜동양이엠에스 | [더현대서울/중식제공] 6시간파트 바리스타 모집 | 5시간 전 등록
