[2025-07-13 06:00:01] INFO - 🔧 Logging initialized
[2025-07-13 06:00:02] INFO - 프로그램 시작됨
[2025-07-13 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-13 06:00:19] INFO - 🔢 총 공고 수: 178427건 → 최대 페이지 수: 3569 페이지
[2025-07-13 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-13 06:00:19] INFO - 0001 | 당부 아카데미 | 유튜브 영상 편집 PD 겸 디자이너 채용 (유튜브 광고 수익 100퍼센트 지급) | 2시간 전 등록
[2025-07-13 06:00:20] INFO - 0002 | ㈜스타에이치알 | [SK그룹사/소속전환기회/신입환영/낙성대역앞]AMD 모집 | 4시간 전 등록
[2025-07-13 06:00:20] INFO - 0003 | ㈜스타에이치알 | 신입가능/김해공항경험쌓기/중국어활용/스케쥴근무 | 4시간 전 등록
[2025-07-13 06:00:20] INFO - 0004 | ㈜스타에이치알 | (레미콘운전원/신입환영/김포공장/식사제공) | 4시간 전 등록
[2025-07-13 06:00:20] INFO - 0005 | 글로벌JMT | [1인실/선착순마감 ] 대규모채용/친구동반/ 인터플렉스/최고의복지/상여300 | 5시간 전 등록
[2025-07-13 06:00:20] INFO - 0006 | 글로벌JMT | [1인실/선착순마감 ] 대규모채용/ 친구동반/ 인터플렉스/최고의복지/휴대폰 | 5시간 전 등록
[2025-07-13 06:00:21] INFO - 0007 | 글로벌JMT | [용인/수원/이천 정규직/1인실] 경력인정/반도체/품질/test생산 /패키징 | 5시간 전 등록
[2025-07-13 06:00:21] INFO - 0008 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면 화상면접/ 대기업계약직/ 월390만 | 5시간 전 등록
[2025-07-13 06:00:21] INFO - 0009 | 리드커리어㈜ | [CN모터스] 카니발 특장 작업공정별 정규직 대규모 채용 | 5시간 전 등록
[2025-07-13 06:00:21] INFO - 0010 | 프라임텍㈜ | 기술영업 경력직 | 5시간 전 등록
[2025-07-13 06:00:21] INFO - 0011 | ㈜스케줄코퍼레이션 | 다이닝 오스테리아 에덴 (정규직) 홀 정규직 채용 | 5시간 전 등록
[2025-07-13 06:00:22] INFO - 0012 | 로지스올㈜ | 로지스올홈케어 정규직 채용 | 5시간 전 등록
[2025-07-13 06:00:22] INFO - 0013 | 일산동물의료원 | 일산동물의료원에서 마케팅 담당자를 모집합니다 | 5시간 전 등록
[2025-07-13 06:00:22] INFO - 0014 | 엔에이치엔링크㈜ | [NHN Link] 총무 담당 | 5시간 전 등록
[2025-07-13 06:00:22] INFO - 0015 | ㈜비즈비 | 웹/앱 퍼블리셔 정규직 채용(React가능,경력5년이상) | 5시간 전 등록
[2025-07-13 06:00:22] INFO - 0016 | 서울시니어스타워㈜오색그린야드호텔 | 오색그린야드호텔 부총지배인 채용공고 | 5시간 전 등록
