[2025-07-14 06:00:02] INFO - 🔧 Logging initialized
[2025-07-14 06:00:02] INFO - 프로그램 시작됨
[2025-07-14 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-14 06:00:19] INFO - 🔢 총 공고 수: 173171건 → 최대 페이지 수: 3464 페이지
[2025-07-14 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-14 06:00:19] INFO - 0001 | ㈜에이치앤티아웃소싱시스템 | [KTcs/정규직] KT스카이라이프 대표전화 사원 모집(신입/경력) | 4시간 전 등록
[2025-07-14 06:00:19] INFO - 0002 | 일월 | 경남대점 댓거리 일월 직원 모집합니다 | 5시간 전 등록
[2025-07-14 06:00:20] INFO - 0003 | ㈜도원물류 | (주)도원물류/급여제 /대형화물차량 운전하실 기사님 (신용무관) | 5시간 전 등록
[2025-07-14 06:00:20] INFO - 0004 | 영재운수 | 수도권 물류센터 주력 운송 / 회사차 운전하는 안정적인 급여 (신용무관) | 5시간 전 등록
[2025-07-14 06:00:20] INFO - 0005 | 에이치알에스코리아 | 카카오페이 타임스퀘어센터/ 앱 이용관련 채팅, 게시판 인바운드 통합센터 | 5시간 전 등록
[2025-07-14 06:00:20] INFO - 0006 | 에이치알에스코리아 | 쿠쿠가전 마곡센터/ AS센터 / 접수, 가까운 센터안내 전산처리 상담 | 5시간 전 등록
[2025-07-14 06:00:20] INFO - 0007 | 에이치알에스코리아 | SSG닷컴 수원센터(향후 재택가능) / 쇼핑몰 CS관련 담당자 모집 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0008 | 에이치알에스코리아 | 현대카드 타임스퀘어센터/ 카드 분실 재발급, 선결제, 한도문의안내 등 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0009 | 미래비전 | 삼성디스플레이협력사/OLED액정생산/3조2교대/우수기업/기숙사가능 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0010 | ㈜로이첸 | [경기/포천] 무역부(일본영업) 경력직 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0011 | ㈜에이피알 | [제조] 의료기기 제조기술 담당 경력 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0012 | 에스케이쉴더스㈜ | 네트워크 및 보안 운영 경력직 채용(충북 청주) | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0013 | 이트너스㈜ | 이트너스(주) 2025년 3차 E-ON 채용연계형 인턴 모집 | 5시간 전 등록
[2025-07-14 06:00:21] INFO - 0014 | ㈜이지세이브 | [이지세이브 ] 영등포/송내 센터 다이렉트 자동차보험 비교 상담원 모집 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0015 | ㈜젬블로컴퍼니 | 보드게임 개발사 (주)젬블로컴퍼니 2025년 대외사업팀 채용 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0016 | 이인텔리전스㈜ | [대구] AI 학습 데이터 라벨러 채용 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0017 | ㈜아린 엠.에이치.씨 | (주)아린엠에이치씨 연구소(개발팀) 연구원 채용공고 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0018 | ㈜아린 엠.에이치.씨 | (주)아린엠에이치씨 마케팅 담당자 모집 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0019 | ㈜아린 엠.에이치.씨 | (주)아린엠에이치씨 품질담당 모집 | 5시간 전 등록
[2025-07-14 06:00:22] INFO - 0020 | ㈜아린 엠.에이치.씨 | ㈜아린엠에이치씨 생산직(가공보조) 채용 | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0021 | ㈜와그 | [WAUG]와그 해외여행 제휴영업 경력직 채용 | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0022 | ㈜와그 | [WAUG]와그 일본 제휴 비즈니스 담당자 모집(신입/경력) | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0023 | ㈜와그 | [WAUG]와그 재무팀 경력직 모집 | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0024 | 영진약품㈜ | 영진약품㈜ 부문별 수시 채용 | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0025 | ㈜한빛산업 | 유압,유압시스템 설계 | 5시간 전 등록
[2025-07-14 06:00:23] INFO - 0026 | 사소한 | [온라인마케팅]사무직/초보자가능/오후출근 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0027 | ㈜케이디에프 | KDF 공무부 보일러, 설비관리직 ( 현장 근무/주야2교대) | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0028 | 교원그룹 | 교원그룹 7월 정기채용 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0029 | ㈜스페이스랩 | 디자인설계 경력직 모집 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0030 | ㈜더존비즈온 | [그룹웨어 구축 - 경력]더존비즈온 그룹웨어 및 ERP 컨설팅 경력자 채용 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0031 | ㈜뉴시스 | 뉴시스 부산취재본부 경력기자 채용 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0032 | ㈜뉴시스 | 뉴시스 부산취재본부 수습기자 채용 | 5시간 전 등록
[2025-07-14 06:00:24] INFO - 0033 | ㈜단비교육 | 에듀테크1등기업 단비교육(프론트엔드/백엔드개발/서비스운영/온라인마케팅/채널마케팅/교사운영/고객상담) | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0034 | ㈜더조은홈 | [생활용품 유통업체] 영업팀 MD 모집 | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0035 | ㈜크레아코퍼레이션 | 영상사업팀 영상제작자(종합편집) 모집 | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0036 | ㈜나무커뮤니케이션 | [NAVER/KAKAO 공식광고대행사] IT개발팀 백엔드 경력 개발자 채용 | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0037 | 유화증권㈜ | [유화증권] 재무관리 신입 및 경력직원 채용 | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0038 | ㈜에픽스에이치앤엘(Epics H&L Co.Ltd) | 헬스케어기업 [경영지원 사무직 채용] 월 250만부터 / 전산 액셀 행정 사무 | 5시간 전 등록
[2025-07-14 06:00:25] INFO - 0039 | 주식회사 지티렌트카 | [대구 전채] G7렌터카 고객 및 매장관리 현장직 계약직 모집 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0040 | ㈜페슬 | 대만 이커머스 및 마케팅 담당자 채용 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0041 | 윌리엄스홍콩리미티드한국지점 | Workflow Coordinator 모집 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0042 | 현대해상화재보험㈜ | 2025년 현대해상 장기보험 사고조사전담 채용 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0043 | 더워터멜론㈜ | [브랜드경험그룹] 브랜드 캠페인 기획자(AE, 경력) | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0044 | 포항공과대학교산학협력단 | POSTECH(포항공과대학교)혁신융합대학사업단 연구계약직 채용 공고 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0045 | 이브이앤솔루션 (주) | 크린토피아 용인지사 월330 이상 야간배송기사/ 회사 차 이용 | 5시간 전 등록
[2025-07-14 06:00:26] INFO - 0046 | 한국방송통신대학교 | 2025년도 제3차 한국방송통신대학교 학사관리직 채용시험 공고(건축) | 5시간 전 등록
[2025-07-14 06:00:27] INFO - 0047 | ㈜쎌바이오텍인터내셔날 | [제약/바이오 유산균 듀오락] 온라인 외부몰 MD 경력 채용 | 5시간 전 등록
[2025-07-14 06:00:27] INFO - 0048 | ㈜데이원컴퍼니 | [패스트캠퍼스] 브랜드 콘텐츠 디자이너 | 5시간 전 등록
[2025-07-14 06:00:27] INFO - 0049 | 앨트웰텍㈜ | 생산관리 신입/경력직 채용 | 5시간 전 등록
[2025-07-14 06:00:27] INFO - 0050 | 이브이앤솔루션 (주) | 크린토피아 광주 광산지사 월300 야간배송기사/ 회사 차 이용 (비용 X) | 5시간 전 등록
[2025-07-14 06:00:27] INFO - ⏱ 3.28초 대기
[2025-07-14 06:00:31] INFO - 
📄 현재 페이지: 2
[2025-07-14 06:00:31] INFO - 0051 | ㈜두드림교육 | 컴퓨터활용능력2급실기(7월22일-8월22일) 화목/화목금 19:20-22:20 | 5시간 전 등록
[2025-07-14 06:00:31] INFO - 0052 | ㈜연세교육아카데미 | KDT/ 네트워크,정보보안,AWS,클라우드,서버 등 정보기술개발 시간강사 모집 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0053 | 에이에스엠엘코리아㈜ | [ASML] EUV Technical Support Engineer (Flow&Temperature) | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0054 | ㈜서울써브스 | [SUBWAY] 써브웨이 강남역GT타워점 정규직 매니저 공개 채용 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0055 | (주)원스탑프렙 | [정규직] Teach Advanced Math in Seoul, Apgujeong (SAT Math, Calculus) | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0056 | 동화세상 에듀코 | [신입/경력] 영어선생님/영어강사 급구 (초중고)-와와학습코칭학원 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0057 | 한화솔루션㈜인사이트 제이드 | [한화솔루션 인사이트]제이드팰리스G.C. 일식 조리사 채용 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0058 | 유화증권㈜ | [유화증권] 영업지원(콜센터 및 업무개발) 직원 채용공고 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0059 | 농업회사법인㈜웨일즈 | 생산직 포지션 채용합니다. | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0060 | 하이미디어아카데미 | [하이미디어아카데미] 교육 상담팀 정규직 채용 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0061 | ㈜서울써브스 | [SUBWAY] 써브웨이 직영점 강남역GT타워점 정규직 매니저 공개 채용 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0062 | 미용하는사람들뷰티아카데미 | 의정부 미용하는사람들 메이크업강사모집 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0063 | 와이비엠교육 | 3주 단기 초보 학생가능 유치원출강 영어강사 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0064 | ㈜리터니티 | SCM 물류기획 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0065 | ㈜리터니티 | 영상 PD | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0066 | ㈜아데코코리아 | [신한은행 본점/일 4시간] 글로벌전략부 통번역 채용 (석사 우대) | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0067 | 인커넥트 | [여의도역/월평균470만/TM경력자]-NH캐피탈 아웃바운드 정규상담사 모집 | 5시간 전 등록
