[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:29] INFO - 0001 | 주식회사 씨앤테크놀러지 | [코스닥상장]3조2교대/PCB/상여매달/정착지원금/기숙사/통근/신입/동반 | 34분 전 등록
[2025-07-18 06:01:29] INFO - 0002 | 미래비전 | 문자지원/K1/삼성디스플레이협력사/OLED액정생산/코써/PCB제조/기숙사 | 3시간 전 등록
[2025-07-18 06:01:29] INFO - 0003 | ㈜케이에프디자인 | 건설 일용직 채용 (자재 양중) | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0004 | 코헬렛커뮤니케이션 | CJ대한통운 종로 배송 및 집하 사원 | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0005 | ㈜원정대 | [연3,000만-/성과급별도/식대/주35] 마케팅 광고 대행사 영업팀 채용 - 확 | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0006 | 영보화학㈜ | 안전환경팀 소방시설 관리 담당자(정규직) 채용 | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0007 | ㈜파오창 | [보보식당] 주방 정직원 채용 | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0008 | ㈜파오창 | [보보식당] 홀 서비스 정직원 채용 | 5시간 전 등록
[2025-07-18 06:01:30] INFO - 0009 | ㈜와그 | [WAUG]와그 재무팀 인턴 채용 | 5시간 전 등록
[2025-07-18 06:01:31] INFO - 0010 | ㈜승일 | SUN그룹 신제품개발팀 신입사원 채용 | 5시간 전 등록
[2025-07-18 06:01:31] INFO - 0011 | ㈜화물맨 | [화물맨] 플랫폼영업팀 팀원 채용 운송영업 | 5시간 전 등록
[2025-07-18 06:01:31] INFO - 0012 | ㈜폴리스타 | 2025년 (주)폴리스타 개발기획팀 경력직 채용 | 5시간 전 등록
[2025-07-18 06:01:31] INFO - 0013 | ㈜더에코서비스 | 복합기/복사기 판매 및 렌탈 마케팅(00명), A/S엔지니어(0명) | 5시간 전 등록
[2025-07-18 06:01:31] INFO - 0014 | 농협은행 | NH농협은행 종합기획부 일반계약직 채용 공고 | 5시간 전 등록
