[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:16] INFO - 0001 | 콜로세움코퍼레이션 | 글로벌 이커머스 물류 세일즈 및 운영 담당 | 5시간 전 등록
[2025-07-19 06:00:16] INFO - 0002 | ㈜바로팜 | 제약 BM (Brand Manger) | 5시간 전 등록
[2025-07-19 06:00:16] INFO - 0003 | 주식회사 이닛엔터테인먼트 | [이닛엔터테인먼트-JYP 자회사] 각 부문 신입/경력 채용 | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0004 | 서울대학교 자연과학대학 | 대학교 물품, 시설 업무 담당자 채용(계약직) | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0005 | ㈜아모레퍼시픽 | 아모레용산 판매전문직 계약직 모집공고 | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0006 | ㈜리골드 | 귀금속 제품디자이너, 라이노 캐드 직원 모집(초보자도 가능) | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0007 | ㈜리골드 | 생산부 쥬얼리 귀금속 단순조립 업무 직원 모집(초보자 가능) | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0008 | 리체스의원 | JD리체스클리닉 [피부관리사] 정규채용 `7월 1일 개원예정 | 5시간 전 등록
[2025-07-19 06:00:17] INFO - 0009 | 리체스의원 | JD리체스클리닉 [피부관리사] 정규채용 `7월 1일 개원예정 | 5시간 전 등록
[2025-07-19 06:00:18] INFO - 0010 | AACT | [인천공항] AACT 화물터미널 인사팀 경력 정규직 모집 | 5시간 전 등록
[2025-07-19 06:00:18] INFO - 0011 | 오픈갤러리 | [오픈갤러리] 물류팀 사원 채용 (운전필수) | 5시간 전 등록
[2025-07-19 06:00:18] INFO - 0012 | 오픈갤러리 | [오픈갤러리] IT 개발자 채용 / Django 풀스택 (일반/병특 (보충역)) | 5시간 전 등록
