[2025-07-20 06:00:01] INFO - 🔧 Logging initialized
[2025-07-20 06:00:02] INFO - 프로그램 시작됨
[2025-07-20 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-20 06:00:20] INFO - 🔢 총 공고 수: 177882건 → 최대 페이지 수: 3558 페이지
[2025-07-20 06:00:20] INFO - 
📄 현재 페이지: 1
[2025-07-20 06:00:20] INFO - 0001 | ㈜에스비에이디 | 샤브올데이 분당서현점에서 핫디쉬 및 육절기를 모집합니다(소개글 필독) | 4시간 전 등록
[2025-07-20 06:00:20] INFO - 0002 | 아트리움 | 인테리어 공사부 직원 채용 / 현장관리 | 5시간 전 등록
[2025-07-20 06:00:20] INFO - 0003 | whisk | 판교 브런치 레스토링 위스크 쉐프팀원 구합니다 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0004 | 뉴이스트와이어메쉬㈜ | 뉴이스트 물류직원 모집 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0005 | 리드커리어 주식회사 | [잠실/단기]쿠팡 본사 IT자산관리 단기 프로젝트 대규모 채용 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0006 | 리드커리어 주식회사 | [재택근무/쿠팡본사]쿠팡이츠 신사업(Retail) 이미지 리터칭 채용 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0007 | 리드커리어 주식회사 | [하루 출근 후 재택/정규전환]쿠팡 본사 PBS사무보조 대규모 채용 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0008 | ㈜인터비즈시스템 | [주5일/초보자 가능] 신촌 세브란스병원 이송파트 직원 모집 | 5시간 전 등록
[2025-07-20 06:00:21] INFO - 0009 | ㈜선정인터내셔날 | [임원 수행기사] KT 임원운전 경력직 | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0010 | ㈜인터비즈시스템 | [주5일/초보자 가능] 신촌 세브란스병원 병동 간호보조 직원 모집 | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0011 | ㈜씨아이템프러리 | [월350만/국회의사당역] 현대카드 본사 단기채권 사원 채용-상여금최고 | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0012 | ㈜제니엘 | [신입가능/주5일/240만] 메이크업 뷰티브랜드 에스쁘아 연남 주니어 채용 | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0013 | ㈜멘토커리어 | [실내근무] DHL 용인 기흥센터 자재관리 사원모집 (사무, 현장 업무 병행) | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0014 | 씨에스쉐어링㈜ | [CS쉐어링/마곡역] 마곡센터 정규직 상담사 채용 | 5시간 전 등록
[2025-07-20 06:00:22] INFO - 0015 | ㈜커리어텍 | [본사] 삼우CM 건축사사무소 직원(총무팀) 채용. | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0016 | ㈜커리어텍 | [자체계약직/신입가능] 삼우CM 건축사사무소 직원(인사팀) 채용. | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0017 | ㈜커리어텍 | [삼성물산] H&B플랫폼사업팀 (프로모션 기획 및 관리 / 상여금) 채용. | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0018 | ㈜커리어텍 | [삼성물산] IT 서비스 개발(상여, 통근버스) 직원 채용. | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0019 | 리드커리어 주식회사 | [메르세데스 벤츠] 한성자동차 본사 재무/회계 담당 직원 채용 | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0020 | ㈜엠플라인 | [가산디지털/주말휴무/9to6]ICT기업 단순기술지원상담사 모집(선착순 채용) | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0021 | 리드커리어 주식회사 | [ 잠실역 ] 안다르 본사 고객케어부서 CS 전산처리 담당자 채용 | 5시간 전 등록
[2025-07-20 06:00:23] INFO - 0022 | ㈜신한서브 | [국회의사당역] 한국평가데이터 본사 AI PM 전문 경력직 채용 | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0023 | ㈜DYB최선어학원 | [직영] 영어선생님 채용 | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0024 | ㈜DYB최선어학원 | [직영] 25년 신학기 각 부문 STAFF 모집 | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0025 | 아이비커리어㈜ | [강남] 제약회사 팀비서(서무) 모집 | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0026 | 트랜스코스모스코리아 | [하루출근-바로재택/시간선택] 쿠팡 이용관련 재택근무 상담 Zf1F | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0027 | 에이스휴먼파워㈜ | [근무환경최상/복지최고] 하나애드아이엠씨 퍼포먼스마케터 경력직 채용 | 5시간 전 등록
[2025-07-20 06:00:24] INFO - 0028 | ㈜제인솔루션 | 본에스티스 화장품 영업관리 MD 정규직 사원 모집 | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0029 | 하랑 | [에이닷 송탄지점] 수강생 1대1 학습코칭 진도관리 강사 채용 [전공무관] | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0030 | 하랑 | [에이닷 산본지점] 수강생 1대1 학습코칭 진도관리 강사 채용 [전공무관] | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0031 | 트랜스코스모스코리아 | [평일/월244만] iM라이프생명 청약센터 서류검수,문의안내 Zm8K | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0032 | 트랜스코스모스코리아 | [하루출근 후 바로 재택근무/시간선택] 쿠팡이츠 상담사 대모집 Zr4A | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0033 | 피엔에이링크 | [CLARINS 클라랑스] 백화점 뷰티브랜드 테라피스트 채용 / 인센티브 지급 | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0034 | ㈜잡스테이션 | [주간고정/주5일/교통비별도] 오창-생산직 정규직 모집/자차 | 5시간 전 등록
[2025-07-20 06:00:25] INFO - 0035 | ㈜씨아이템프러리 | 역삼역 [롯데캐피탈] 채권관련 단순 문의응대 인바운드 채용/콜수낮음 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0036 | ㈜잡스테이션 | [셔틀운행/신입가] 신라CC-식음료(F&B) 모집/자차 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0037 | ㈜씨아이템프러리 | 월-300만/대출심사 [롯데캐피탈] 대출관련 서류심사직 채용 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0038 | ㈜프로에스콤 | [용산역-드래곤시티호텔 / 보안사원 채용] 3교대근무. 좌식근무병행 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0039 | ㈜잡스테이션 | [기숙사제공/주5일/신입가] 기흥CC(경기화성) - 예약실 /식음료 모집 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0040 | ㈜파인스태프 | 코오롱 BMW 대전 서비스센터 리셉션모집/커리어향상시키기 | 5시간 전 등록
[2025-07-20 06:00:26] INFO - 0041 | ㈜파인스태프 | [문래역] 나이스페이먼츠 가맹점관리 사무직/보건휴가별도 | 5시간 전 등록
