[2025-07-21 06:00:01] INFO - 🔧 Logging initialized
[2025-07-21 06:00:01] INFO - 프로그램 시작됨
[2025-07-21 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-21 06:00:15] INFO - 🔢 총 공고 수: 172505건 → 최대 페이지 수: 3451 페이지
[2025-07-21 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-21 06:00:15] INFO - 0001 | 미래비전 | 우수기업/AP/코써/PCB생산/SMT OP/3조2교대/기숙사1인실 | 1시간 전 등록
[2025-07-21 06:00:15] INFO - 0002 | 토스인슈어런스㈜ | 청주시 - [금융프라자사업단] 설계사 및 관리자 모집 | 2시간 전 등록
[2025-07-21 06:00:15] INFO - 0003 | 토스인슈어런스㈜ | 벡스코역 - [금융프라자사업단] 설계사 및 관리자 모집 | 2시간 전 등록
[2025-07-21 06:00:16] INFO - 0004 | 토스인슈어런스㈜ | 청라지역 - [금융프라자사업단] 설계사 및 관리자 모집 | 2시간 전 등록
[2025-07-21 06:00:16] INFO - 0005 | 토스인슈어런스㈜ | 강서구 지역 - [금융프라자사업단] 설계사 및 관리자 모집 | 2시간 전 등록
[2025-07-21 06:00:16] INFO - 0006 | 토스인슈어런스㈜ | 목포지역 - [금융프라자사업단] 설계사 및 관리자 모집 | 2시간 전 등록
[2025-07-21 06:00:16] INFO - 0007 | 목동준과학학원 | [준과학학원] 고등 과학.고등 사회 강사 모집 | 4시간 전 등록
[2025-07-21 06:00:16] INFO - 0008 | ㈜에이치앤티아웃소싱시스템 | [전국/정규직] SK Telecom 고객센터 114 사원 모집 (신입/ 경력) | 4시간 전 등록
[2025-07-21 06:00:16] INFO - 0009 | ㈜에이치앤티아웃소싱시스템 | [월276만/수도권] SK Telecom 고객센터 정규직 사원 모집 (신입/ 경력) | 4시간 전 등록
[2025-07-21 06:00:17] INFO - 0010 | 농협은행㈜ | NH농협은행 마케팅 디자인 일반 계약직 채용 | 4시간 전 등록
[2025-07-21 06:00:17] INFO - 0011 | ㈜네이처코퍼레이션 | 건강식품 생산직 사원 채용 | 4시간 전 등록
[2025-07-21 06:00:17] INFO - 0012 | ㈜더블에이치에프앤비 | 판교 아브뉴프랑 스페인 레스토랑 쉐프 구합니다 | 5시간 전 등록
[2025-07-21 06:00:17] INFO - 0013 | ㈜캐디몬 | 프린세스gc남녀캐디모집 / 숙식제공 / 커플가능 / 경력 및 신입모집 | 5시간 전 등록
[2025-07-21 06:00:17] INFO - 0014 | ㈜캐디몬 | 세종에머슨cc남녀캐디모집 / 숙식제공 / 당일지급 / 무료교육기간중 수입가 | 5시간 전 등록
