[2025-07-22 06:00:02] INFO - 🔧 Logging initialized
[2025-07-22 06:00:02] INFO - 프로그램 시작됨
[2025-07-22 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-22 06:00:16] INFO - 🔢 총 공고 수: 176381건 → 최대 페이지 수: 3528 페이지
[2025-07-22 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-22 06:00:16] INFO - 0001 | 글로벌JMT | [선착순마감 ] 대규모채용/친구동반/ 인터플렉스/ 최강복지/ 상여300/교포 | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0002 | 글로벌JMT | [선착순마감 ] 대규모채용/친구동반/ 인터플렉스/최강복지/ 상여300/교포 | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0003 | 글로벌JMT | [파주 대규모 채용/ 입사즉시상여 300] 친구동반 / 품질 /생산/ 반도체 | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0004 | 글로벌JMT | [ 1조 매출/ 상여금 300/ 주급가불 450] 커플 / 좌식근무/ 최종검사 | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0005 | 글로벌JMT | [구미 엘지이노텍 /대규모채용] 비대면폰면접 / 대기업계약직/ 월390만 | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0006 | ㈜하루온 | 샤브하우스 선재 도곡점 [홀 매니저] | 5시간 전 등록
[2025-07-22 06:00:17] INFO - 0007 | 미디어캐리어㈜ | 공조장비 SPEC IN 제안 영업 전문가를 모십니다. | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0008 | 서울시립대학교 산학협력단 | 서울시립대학교 RISE사업 전담인력 추가 채용공고 (산학협력단) | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0009 | ㈜원정대 | 인플루언서 커넥트/기획팀 인재 채용 | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0010 | ㈜디자이플 | 홈페이지 디자인 및 CS업무 | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0011 | 코이 (KOI) | 이태원 코이 [양식 주방 팀원] 채용합니다. | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0012 | ㈔한국애니메이션제작자협회 | 2025 애니메이션 제작인력 양성사업 인턴 추가 모집 | 5시간 전 등록
[2025-07-22 06:00:18] INFO - 0013 | 민영상사 | 각 부문 채용[웹디자인](9시출근-5시퇴근) | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0014 | ㈜몬드 | 코코모코 아동복 브랜드 시즌 기획 및 생산 디자이너 (팀장/실장급) 모집 | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0015 | 포항공과대학교산학협력단 | POSTECH(포항공과대학교)혁신융합대학사업단 연구계약직 채용 공고 | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0016 | ㈜코스탯신소재 | 생산관리 및 입출고 관리 직원 모집합니다. | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0017 | (사) 한국지체장애인협회제주도협회 | [긴급] (사)제주특별자치도지체장애인협회 직원(육아휴직 대체자) 채용 재 | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0018 | ㈜커넥트웨이브 | [커넥트웨이브] 다나와 서비스 기획 (3년 이상) | 5시간 전 등록
[2025-07-22 06:00:19] INFO - 0019 | 본앤브레드 | [본앤브레드 인천파라다이스시티점] 주방 셰프, 육부 정육사 모집 / BOH | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0020 | 서비스점검1 | 테스트 공고 입니다. 01 | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0021 | 스프레이시스템코리아(유) | 스프레이시스템코리아(외국계) 회계-신입/경력직 | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0022 | ㈜에이엠타운 | 제품디자이너(경력자) 모집 | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0023 | 보람상조피플㈜ | [보람 그룹] 성수동 본사 글로벌 인재 특별 채용[04] | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0024 | 보람상조피플㈜ | [보람 그룹] 본사 관리직 인재를 모집합니다[03] | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0025 | 에스케이쉴더스㈜ | [SK쉴더스] 대구 롯데캐슬레이크APT 시설보안직(BP3) 신입 채용 | 5시간 전 등록
[2025-07-22 06:00:20] INFO - 0026 | 에스케이쉴더스㈜ | [SK쉴더스] 부산지사 부경대학교 시설 보안직(BP3) 채용 | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0027 | 익스클루시브 | 중국어 가능한 영상 촬영팀 / 영상 감독 구해요 | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0028 | 소울유니버스 | [타로 콘텐츠] 프로덕트 UX UI 디자이너 (경력) | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0029 | 보람상조피플 주식회사 | 보람상조피플(주) 본사 관리자 모집 | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0030 | 수티문 | [연봉 4000이상] MES 청담 역삼 삼성소재 한우특수부위오마카세 수쉐프 | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0031 | ㈜케어젠 | 해외영업(필러 등 미용 의료기기 및 화장품) 경력직 채용 [코스닥 상장사] | 5시간 전 등록
[2025-07-22 06:00:21] INFO - 0032 | 셀렉트스타 주식회사 | [경력] HR Operation Manager | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0033 | ㈜아이비즈소프트웨어 | 전략기획팀 제안서 작성 및 영업 관리 직무(경력) 모집 | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0034 | ㈜뷰리드 강남오피스 | [(주)뷰리드] 서비스 기획자 모집 | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0035 | 리드커리어 주식회사 | [잠실/단기3개월]쿠팡 본사 IT자산관리 프로젝트 대규모 채용 | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0036 | 애드민 | [곤지암] 오뚜기 물류센터 현장 직원모집 | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0037 | 주식회사 엠피씨플러스 | 긴급출동접수(주4일/평일/휴일/주간/야간) 인바운드 상담사 채용/삼성화재 | 5시간 전 등록
[2025-07-22 06:00:22] INFO - 0038 | 에스엠케이 | [상여300/정착지원금/기숙사무료/통근버스] 안산PCB 1차협력사 전공정채용 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0039 | 에이스휴먼파워㈜ | [대기업/금융사/영업X] 잠실점 롯데카드 창구 상담원 채용 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0040 | ㈜선정인터내셔날 | [양재/채무조정] 금융공기업 업무지원 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0041 | ㈜엠제이플렉스 | [고정근무/신입가능] 가톨릭평화방송 인제스트 채용/아카이브/컴퓨터활용 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0042 | 이케이맨파워주식회사 | [ 경남 ] KNN방송국 운전직 사원 모집 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0043 | ㈜선정인터내셔날 | [강남구/수행기사] KT 임원운전 경력직 | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0044 | 리드커리어 주식회사 | (주)한성자동차 벤츠 본사 BDC Team Leader 채용 [CX리더] | 5시간 전 등록
[2025-07-22 06:00:23] INFO - 0045 | 에이스휴먼파워㈜ | [대기업/천안]SK렌터카 차량관리자 채용 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - 0046 | 리드커리어㈜ | [드림어스컴퍼니] V컬러링 운영 지원 담당자 채용 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - 0047 | ㈜웅진 | [적당한 일 콜수/ 인바운드] 삼천리 고객센터 상담매니저 채용 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - 0048 | 인커넥트 | [단기계약직/만근시 월234만 외/부천]-LG전자 신규배송콜센터 단기상담 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - 0049 | (주)맨파워코리아 | []주5일/화성시/자차필/대기업 차량 수출입 출고센터 관리자채용 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - 0050 | ㈜컴파트너스 | NAVER I&S㈜/자회사 각 부문 수시 채용 | 5시간 전 등록
[2025-07-22 06:00:24] INFO - ⏱ 1.77초 대기
[2025-07-22 06:00:27] INFO - 
📄 현재 페이지: 2
[2025-07-22 06:00:27] INFO - 0051 | ㈜엠플라인 | [정규직/경력/편집샵/본사직영] 이피티(ept) 매장관리 채용 | 5시간 전 등록
[2025-07-22 06:00:27] INFO - 0052 | 에스엠케이 | [의왕 반도체 현미경검사 신입사원모집] 시급10,700 주간고정 초보가능 | 5시간 전 등록
[2025-07-22 06:00:27] INFO - 0053 | 트랜스코스모스코리아 | [17-26시/용산센터] 카카오T 고객센터 관리자 팀장(TL) 모집 Zy4H | 5시간 전 등록
[2025-07-22 06:00:27] INFO - 0054 | ㈜엠제이플렉스 | [상암/월240만/홈페이지 디자인] KBS미디어 웹디자인 채용 | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0055 | ㈜에스이에이치인터내셔널 | [12년이상 / 파주] 이탈리안레스토랑 모쿠슈라 헤드셰프 채용 | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0056 | ㈜엠제이플렉스 | [아카이브/신입가능/상암] YTN 영상아카이브팀 영상수신 (영상관리) | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0057 | ㈜엠플라인 | [중국어/F비자/외국인응대/두타몰]글로벌텍스프리 환급데스크 채용 | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0058 | ㈜동양이엠에스 | [상암MBC/신입무관] 라디오 자료 정리(격주 4.5일제) | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0059 | ㈜창조종합건축사사무소 | [창조건축] 일본어 전문 프리랜서(사무직) 모집 | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0060 | 이케이맨파워주식회사 | [사무] 부산대학교 ERP 과제관리 사무원 모집 | 5시간 전 등록
[2025-07-22 06:00:28] INFO - 0061 | 에이스휴먼파워㈜ | [월 280만 이상/프리미엄아이스크림] 벤슨 크루 대규모 채용 | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0062 | ㈜신한서브 | [ 8월8일교육시작/부산진역/콜경력자우대 ] 신한카드 고객상담 채용 | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0063 | 하랑 | [에이닷 성남지점] 수강생 1대1 학습코칭 진도관리 강사 채용 [전공무관] | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0064 | 제이앤씨㈜ | [역삼 대기업/칼퇴]기업 보건복지 관리 담당자 채용(근무환경, 복지좋음) | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0065 | 리드커리어 주식회사 | 벤츠 서울지역 각 전시장 도슨트(제품안내) 채용 [근무지 선택 가능/인센] | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0066 | 리드커리어 주식회사 | [입사당일출근후즉시재택/정규전환]쿠팡 본사 PBS 사무보조 대규모 채용 | 5시간 전 등록
[2025-07-22 06:00:29] INFO - 0067 | ㈜엠제이플렉스 | [카메라보조/신입가능] 취재 촬영 보조/취재AD/카메라 장비관리/운전가능 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0068 | ㈜크릭앤리버엔터테인먼트 | [광화문/연합뉴스TV] 뉴스제작지원부 기상AD 모집 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0069 | (주)맨파워코리아 | [맨파워코리아] 수원지사 도급 컨설턴트 경력직 채용 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0070 | ㈜제이앤피21 | [주5일 스케줄/서울성모병원점] 롤링핀 제빵사(신입/경력) 채용 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0071 | ㈜신한서브 | [ 8월 8일교육시작/동대구역/경력자우대 ] 신한카드 고객상담 채용 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0072 | 에이스휴먼파워㈜ | [연 3,400만이상/복지최상]LG전자 CTO 연구 자재 구매팀 사무보조 채용 | 5시간 전 등록
[2025-07-22 06:00:30] INFO - 0073 | ㈜에스이에이치인터내셔널 | [주5일/정규직] 연인의정원 예약팀 및 운영팀 정직원 채용 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0074 | 트랜스코스모스코리아 | [QA/민원팀장] LG전자 고객센터 관리자 모집 Zi2T | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0075 | 에스엠케이 | BBT 전자회로검사 남녀사원모집(시화공단)간단업무/기숙사/상여지급 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0076 | 동화세상에듀코 | 청주 마케팅팀 신입모집 ( 블로그 카페 고객관리 문서작성 ) 경력무관 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0077 | 에스엠케이 | (상여300/정착지원금/기숙사무료/통근버스)대기업PCB 1차협력사 전공정채용 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0078 | ㈜에스텍플러스 | [케어캠프]삼성창원병원 케어캠프 진료재료 운송(운전) 사원 모집 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0079 | 에이스휴먼파워㈜ | [시급 12,000/레스토랑] 스트릿 조리,홀 파트타이머 채용 -인근배치 | 5시간 전 등록
[2025-07-22 06:00:31] INFO - 0080 | ㈜신한서브 | [정부청사역/콜경력자우대/신입환영] 신한카드 인바운드센터 채용 | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0081 | ㈜신한서브 | [ 보라매/8월 8일교육투입/콜경력자 소수채용 ] 신한카드 인바운드센터 | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0082 | ㈜케이티씨에스 | [ktcs정규직/서울] 한국교직원공제회 회원센터 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0083 | ㈜제니엘 | [ 을지로/푸마코리아/본사 ] E-comm 팀 운영지원 직원채용 | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0084 | 하랑 | [에이닷 부산화명지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0085 | 리드커리어 주식회사 | [하루출근후재택/정규전환] 쿠팡 본사 PBS 일본어 사무보조 대규모 채용 | 5시간 전 등록
[2025-07-22 06:00:32] INFO - 0086 | ㈜메타엠 | [ 명동역 ] 코인원(가상화폐거래소) 고객센터 운영팀장(SV) 채용 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0087 | 에스엠케이 | 대기업 BBT 검사 양산/수입출하/모니터링 사원모집 기숙사 통근버스 상여금 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0088 | ㈜트랜스코스모스코리아 | [BMW파이낸셜/명동] 차량 관련 서류 및 상담 업무 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0089 | ㈜에스이에이치인터내셔널 | [정규직/주5일]KFC 대구지역 직영점 관리 신입 및 경력 매니저 모집 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0090 | ㈜케이티아이에스 | [서울아산병원] 진료예약센터 상담간호사 채용 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0091 | ㈜케이티씨에스 | [ktcs정규직/안양] KT엠모바일 알뜰폰 고객센터 팀장(관리자) 채용 | 5시간 전 등록
[2025-07-22 06:00:33] INFO - 0092 | ㈜엠제이플렉스 | [뉴스편집/신입가능/영등포] KBS 뉴스영상 인코딩/홈페이지 업데이트 | 5시간 전 등록
[2025-07-22 06:00:34] INFO - 0093 | ㈜에스이에이치인터내셔널 | [정규직/주5일]KFC 대전지역 직영점 관리 신입 및 경력 매니저 모집 | 5시간 전 등록
[2025-07-22 06:00:34] INFO - 0094 | ㈜신한서브 | [ 8월11일교육/강남본점/헬스장,구내식당有 ] 신한은행 고객상담센터 채용 | 5시간 전 등록
[2025-07-22 06:00:34] INFO - 0095 | 리드원 세무회계 | 세무상담 1차 미팅 스케줄러(아웃바운드 TM) | 6시간 전 등록
[2025-07-22 06:00:34] INFO - 0096 | 한온시스템㈜ | [한온시스템] IT Architect - Cloud, Data & AI | 6시간 전 등록
[2025-07-22 06:00:34] INFO - 0097 | ㈜페리 | 주식회사 페리 [ERP] 개발 경력자 모집 | 6시간 전 등록
[2025-07-22 06:00:34] INFO - 0098 | 이스턴어학원 | 초중 영어 강사 모집 | 6시간 전 등록
[2025-07-22 06:00:35] INFO - 0099 | 주식회사선릉착한식당 | 스시오마카세 스시이찌에서 주방쉐프 구인합니다. | 7시간 전 등록
[2025-07-22 06:00:35] INFO - 0100 | 디비엠엔에스 | [을지로] 교육비/정착비 350만 지급 - 신입 및 경력 상담원 모집 | 7시간 전 등록
[2025-07-22 06:00:35] INFO - ⏱ 1.94초 대기
[2025-07-22 06:00:37] INFO - 
📄 현재 페이지: 3
[2025-07-22 06:00:37] INFO - 0101 | ㈜와이즈교육 | [초보,부업,투잡가능]와이즈교육 초중고 코딩강사 모집 | 7시간 전 등록
[2025-07-22 06:00:37] INFO - 0102 | ㈜더비지파트너즈 | [온라인광고대행사] AE브랜딩 마케터 신입 및 경력 채용 | 7시간 전 등록
[2025-07-22 06:00:38] INFO - 0103 | ㈜나인스쿨 | 자차소유 영업사원 모집 | 7시간 전 등록
[2025-07-22 06:00:38] INFO - 0104 | 스마트쿱㈜ | 데이터 레이블링-차량 레이블링 | 8시간 전 등록
