[2025-07-27 06:00:01] INFO - 🔧 Logging initialized
[2025-07-27 06:00:03] INFO - Loading faiss.
[2025-07-27 06:00:03] INFO - Successfully loaded faiss.
[2025-07-27 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-27 06:00:03] INFO - 프로그램 시작됨
[2025-07-27 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-27 06:00:21] INFO - 🔢 총 공고 수: 178065건 → 최대 페이지 수: 3562 페이지
[2025-07-27 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-27 06:00:21] INFO - 0001 | ㈜케이티씨에스 | [kt cs 정규직] 메리츠화재 콜센터 인바운드 상담사 모집 | 2시간 전 등록
[2025-07-27 06:00:21] INFO - 0002 | 에이치알24 | [성수역/주5일] 우리카드 고객센터 / 단순안내 인바운드 상담업무 (영업X) | 3시간 전 등록
[2025-07-27 06:00:22] INFO - 0003 | ㈜부릉 | 서울 물류 운영 담당 신입/경력 사원 모집 (정규직) | 5시간 전 등록
[2025-07-27 06:00:22] INFO - 0004 | 크레스트랩㈜ | (주)크레스트랩 홍대본점, 세일즈 마케터 모집(TM), 유튜브 DB 자체 생산 | 5시간 전 등록
[2025-07-27 06:00:22] INFO - 0005 | ㈜한미유나이티드 | [포트메리온]스마트스토어 & 자사몰 관리(AMD) | 5시간 전 등록
[2025-07-27 06:00:22] INFO - 0006 | 프라다코리아 유한회사 | [Miu Miu] Client Service Advisor (고객상담사) | 5시간 전 등록
[2025-07-27 06:00:22] INFO - 0007 | 고려신용정보㈜ | 고려신용정보(주) 전국지점 Leader(부지점장) 경력직 상시채용 | 5시간 전 등록
[2025-07-27 06:00:23] INFO - 0008 | ㈜에이치케이스페이스 | 하반기 기술사업부 실내건축 (신입,경력직) | 5시간 전 등록
[2025-07-27 06:00:23] INFO - 0009 | 아라소프트㈜ | [아라소프트(주)] 이러닝 콘텐츠 교수설계 신입/경력 채용(경기안양지사) | 5시간 전 등록
[2025-07-27 06:00:23] INFO - 0010 | ㈜에스앤아이코퍼레이션 | [S&I Corp.] 데이터센터 전기 담당자 채용 (용인 죽전, 교대근무) | 5시간 전 등록
[2025-07-27 06:00:23] INFO - 0011 | 한나이브성형외과의원 | [지역최고우대] 한나이브 피부과 피부관리사 추가 모집 | 5시간 전 등록
