[2025-07-28 06:00:01] INFO - 🔧 Logging initialized
[2025-07-28 06:00:03] INFO - Loading faiss.
[2025-07-28 06:00:03] INFO - Successfully loaded faiss.
[2025-07-28 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-28 06:00:03] INFO - 프로그램 시작됨
[2025-07-28 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-28 06:00:19] INFO - 🔢 총 공고 수: 173347건 → 최대 페이지 수: 3467 페이지
[2025-07-28 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-28 06:00:19] INFO - 0001 | ㈜에이치앤티아웃소싱시스템 | [월276만/수도권] SK Telecom 고객센터 정규직 사원 모집(신입 / 경력) | 3시간 전 등록
[2025-07-28 06:00:20] INFO - 0002 | 에이치알에스코리아 | [KT대구본부(KT그룹 정규직)] TV인터넷 요금제 변경처리 및 상담 | 3시간 전 등록
[2025-07-28 06:00:20] INFO - 0003 | 에이치알에스코리아 | [KT제주/KT그룹 정규직/인기센터] CRG그룹 전산해지처리 및 상담 | 3시간 전 등록
[2025-07-28 06:00:20] INFO - 0004 | 활어정류장 | [옥수동 횟집 활어정류장] 주방 과장급-실장급 인재를 모십니다. | 5시간 전 등록
[2025-07-28 06:00:20] INFO - 0005 | 뉴콜 | [배달대행] 뉴콜 배달대행과 함께하실 기사분들 모집합니다 | 5시간 전 등록
[2025-07-28 06:00:21] INFO - 0006 | 이도개발㈜ | 카페 매니저 모집(주말,공휴일 휴무,인센티브제) | 5시간 전 등록
[2025-07-28 06:00:21] INFO - 0007 | 구인구직센터 | LG이노텍/구미/핸드폰부품 제조및검사원 채용/신입가능/월390만/숙소제공 | 5시간 전 등록
[2025-07-28 06:00:21] INFO - 0008 | 구인구직센터 | LG이노텍/구미시/스마트폰부품제조및검사원모집/신입가능/월390만/숙소제공 | 5시간 전 등록
[2025-07-28 06:00:21] INFO - 0009 | ㈜에스에프비 | 노매뉴얼 신세계백화점 대전점 직원 채용 | 5시간 전 등록
[2025-07-28 06:00:21] INFO - 0010 | 구인구직센터 | LG이노텍/구미/스마트폰 부품제조및검사원모집/신입가능/월390만/숙소제공 | 5시간 전 등록
[2025-07-28 06:00:22] INFO - 0011 | ㈜디엔에스코리아 | [경력직] 전기/공무 직원 모집 | 5시간 전 등록
[2025-07-28 06:00:22] INFO - 0012 | ㈜엠스틸인터내셔널 | 경영기획본부(사무직) | 5시간 전 등록
[2025-07-28 06:00:22] INFO - 0013 | 미담장학회 | 미담장학회(서울청년센터 강동) 직원(인턴) 채용공고 | 5시간 전 등록
[2025-07-28 06:00:22] INFO - 0014 | 아라마크㈜ | [아라마크] 사업개발 모집(전국) | 5시간 전 등록
[2025-07-28 06:00:22] INFO - 0015 | ㈜에스에프비 | 노매뉴얼 신세계백화점 대전점 매니저 채용 | 5시간 전 등록
[2025-07-28 06:00:23] INFO - 0016 | ㈜해양드론기술 | 해외영업 담당 채용(경력) | 5시간 전 등록
[2025-07-28 06:00:23] INFO - 0017 | 제주농협조합공동사업법인 | 제주농협조합공동사업법인 기간제근로자(일반계약직) 채용 공고 | 5시간 전 등록
[2025-07-28 06:00:23] INFO - 0018 | ㈜행복재무상담센터 | [정규직/교대역 4분거리]CS매니저 채용(점심 식대 무제한) | 5시간 전 등록
[2025-07-28 06:00:23] INFO - 0019 | 한국팹리스산업협회 | 한국팹리스산업협회 직원 채용 공고 | 5시간 전 등록
[2025-07-28 06:00:24] INFO - 0020 | 중앙대학교 산학협력단 | 2025학년도 중앙대학교 산학협력단 한시계약직원 채용 | 5시간 전 등록
[2025-07-28 06:00:24] INFO - 0021 | 숭실대학교 | 숭실대학교 경영대학 벤처경영학과 계약직 직원 모집 | 5시간 전 등록
[2025-07-28 06:00:24] INFO - 0022 | ㈜태신무역 | (주)태신무역 중고 스마트폰 검수ㆍ 포장 파트타임 채용 | 5시간 전 등록
[2025-07-28 06:00:24] INFO - 0023 | ㈜에듀제이씨 | [㈜에듀제이씨] 고등 통합과학 콘텐츠 개발(수능과학) 연구원 신입 / 경력직 채용 | 5시간 전 등록
[2025-07-28 06:00:24] INFO - 0024 | 하프의원 | [강남/신사역] 하프클리닉 코디선생님 충원(상담실장꿈이있는분 환영) | 5시간 전 등록
[2025-07-28 06:00:25] INFO - 0025 | ㈜아이디어키 | IDEAKEY 광고영업 AE 신입/경력 채용 | 5시간 전 등록
[2025-07-28 06:00:25] INFO - 0026 | 세정에이텍 | [세정에이텍] 기계유지보수(발포기) 및 생산지원 업무 | 5시간 전 등록
[2025-07-28 06:00:25] INFO - 0027 | 플라이 물류 | 1톤 야간배송기사 모집(19:30-06:00/토요일휴무) | 5시간 전 등록
[2025-07-28 06:00:25] INFO - 0028 | ㈜한세인더스트리 | 해외영업, 수출입/무역사무 경력1년이상 (뷰티업계 우대) [네일/뷰티/리빙] | 5시간 전 등록
[2025-07-28 06:00:26] INFO - 0029 | ㈜용운 | [㈜용운] 배송(스틱운전가능자) 직원 채용 | 5시간 전 등록
[2025-07-28 06:00:26] INFO - 0030 | ㈜원정대 | [연3,000만-/성과급별도/식대/주35] 인플루언서 마케팅 세일즈 매니저 채용 | 5시간 전 등록
[2025-07-28 06:00:26] INFO - 0031 | ㈜문화방송 | MBC 영상기술파트 TV부조정실 녹화장비 운용 담당 | 5시간 전 등록
[2025-07-28 06:00:26] INFO - 0032 | ㈜문화방송 | MBC 스트레이트팀 조연출 담당 모집 | 5시간 전 등록
[2025-07-28 06:00:26] INFO - 0033 | ㈜일로레 | 리더스아카데미 본점 상담실장 모집 | 5시간 전 등록
[2025-07-28 06:00:27] INFO - 0034 | 고려기프트㈜ | [본사] 판촉물 온라인 쇼핑몰 MD 채용공고 | 5시간 전 등록
[2025-07-28 06:00:27] INFO - 0035 | ㈜대경기술단 | 건축전기설계 경력직원 모집(주임,대리 급 모집) | 5시간 전 등록
[2025-07-28 06:00:27] INFO - 0036 | 서울시장애인의사소통권리증진센터 | 서울시 장애인 의사소통권리증진센터 직원 채용 재공고 | 5시간 전 등록
[2025-07-28 06:00:27] INFO - 0037 | ㈜페코텍 | [반도체 부품] 생산관리팀(TCB) 신입 직원 영입 | 5시간 전 등록
[2025-07-28 06:00:27] INFO - 0038 | ㈜우성플라테크 | (주)우성플라테크 생산본부(김포) 플라스틱 블로우성형기 매니저 채용 | 5시간 전 등록
[2025-07-28 06:00:28] INFO - 0039 | (재)춘천바이오산업진흥원 | (재)춘천바이오산업진흥원 채용 공고(계약직 스마트제조 인력양성사업) | 5시간 전 등록
[2025-07-28 06:00:28] INFO - 0040 | 네스티 | [네스티] 전자담배 브랜드 도,소매 유통관리자 정규직 채용 | 5시간 전 등록
[2025-07-28 06:00:28] INFO - 0041 | 인서울핏 헬스&PT | 이태원 인서울핏 수업포화 오전오후 트레이너 구인 | 5시간 전 등록
[2025-07-28 06:00:28] INFO - 0042 | ㈜비버웍스 | [비버웍스] 고객서비스/사무지원 담당자 모집(신입가능) | 5시간 전 등록
[2025-07-28 06:00:29] INFO - 0043 | ㈜나레스트 | 네일강사 모집 (평일오후,저녁 또는 주말) 파트 가능 | 5시간 전 등록
[2025-07-28 06:00:29] INFO - 0044 | ㈜폴리테루 | [주식회사 폴리테루] 품질 관리(QC) 담당자 채용 (경력) | 5시간 전 등록
[2025-07-28 06:00:29] INFO - 0045 | ㈜엘엔케이컴퍼니 | 사무직보다 더 쉬운 유튜브 마케터를 모십니다 | 5시간 전 등록
[2025-07-28 06:00:29] INFO - 0046 | 키즈코리아 | 유치원 및 어린이집 파견 코딩 강사 모집합니다. | 5시간 전 등록
[2025-07-28 06:00:29] INFO - 0047 | 키즈코리아 | [키즈엠] 파견 유치원 어린이집 영어 강사를 모집합니다 | 5시간 전 등록
[2025-07-28 06:00:30] INFO - 0048 | 제이제이워크 | FPCB상여금300 생산직 기숙사 지원 통근 버스 초보 가능 | 5시간 전 등록
[2025-07-28 06:00:30] INFO - 0049 | 제이제이워크 | [정규직/PCB 기숙사제공]안성,안산/초보 가능/3조 2교대/월 353만 | 5시간 전 등록
[2025-07-28 06:00:30] INFO - 0050 | 제이제이워크 | 골판지상자제조/기숙사지원/통근운행/여름휴가/지게차생산모집 | 5시간 전 등록
[2025-07-28 06:00:30] INFO - ⏱ 3.01초 대기
[2025-07-28 06:00:34] INFO - 
📄 현재 페이지: 2
[2025-07-28 06:00:34] INFO - 0051 | 제이제이워크 | 멕시코 프렌차이즈레스토랑/지점선택가능/임직원할인/신입가능 | 5시간 전 등록
[2025-07-28 06:00:34] INFO - 0052 | 퍼펙트커리어㈜ | 시급10,200ㆍ창립45주년ㆍ정규직 ㅣ삼성SDI 협력사 이차전지 특별모집 | 5시간 전 등록
[2025-07-28 06:00:35] INFO - 0053 | 퍼펙트커리어㈜ | ㅣ성과보상ㆍ기숙사지원ㆍ정규직ㅣ2025 하반기 JOB매니저 공채 | 5시간 전 등록
[2025-07-28 06:00:35] INFO - 0054 | 퍼펙트커리어㈜ | ㅣ연봉4500ㆍ상여금150ㆍ명절보너스ㅣ삼성전기 1차협력사 특별공채모집 | 5시간 전 등록
[2025-07-28 06:00:35] INFO - 0055 | ㈜다원시스 | 2025년 08월 다원시스 수시채용 | 5시간 전 등록
[2025-07-28 06:00:35] INFO - 0056 | 이지케어텍㈜ | 이지케어텍㈜ 신입 개발자 채용 - 채용연계형 인턴 | 5시간 전 등록
[2025-07-28 06:00:36] INFO - 0057 | JMP코리아 | [당산역/초보가능] 대한채권관리대부 본사 채권관리팀 신입 채용 | 5시간 전 등록
[2025-07-28 06:00:36] INFO - 0058 | ㈜인커넥트 | [고정급223만 외(기본급 추가인상)/교육3일]-놀(NOL)유니버스 인바운드상담 | 5시간 전 등록
[2025-07-28 06:00:36] INFO - 0059 | ㈜메타엠 | [놀유니버스] 신입도 가능한 항공권 예약 관련 상담 | 5시간 전 등록
[2025-07-28 06:00:36] INFO - 0060 | ㈜선정인터내셔날 | [총무지원/구매관리] NICE그룹 경영지원실 총무행정 | 5시간 전 등록
[2025-07-28 06:00:37] INFO - 0061 | ㈜선정인터내셔날 | [인사보조/채용지원] KT 인재실 사무보조 | 5시간 전 등록
[2025-07-28 06:00:37] INFO - 0062 | JMP코리아 | [서초/인바운드/단기 ] 자동차 사고접수 관련 상담 담당자 채용 | 5시간 전 등록
[2025-07-28 06:00:37] INFO - 0063 | JMP코리아 | [ 평내호평역/인바운드/단기] 자동차 관련 인바운드 상담 | 5시간 전 등록
[2025-07-28 06:00:37] INFO - 0064 | JMP코리아 | [금융권/신입환영] 새마을금고 중앙회 본부 채권 및 사무 직원 채용 | 5시간 전 등록
[2025-07-28 06:00:37] INFO - 0065 | ㈜케이티씨에스 | [대전/충청] 에쓰오일운영센터 현장 CS 강사 채용 | 5시간 전 등록
[2025-07-28 06:00:38] INFO - 0066 | ㈜엘에스 | LS그룹 신입/경력 수시 채용 | 5시간 전 등록
[2025-07-28 06:00:38] INFO - 0067 | 리드커리어 주식회사 | [하루출근후재택/지방가능]쿠팡 일본어 번역 사무보조 대규모 채용 | 5시간 전 등록
[2025-07-28 06:00:38] INFO - 0068 | ㈜인커넥트 | [올리브영 인바운드상담/3개월계약직(정규직전환가능)/근무시간 선택가능] | 5시간 전 등록
[2025-07-28 06:00:38] INFO - 0069 | 주식회사 엠피씨플러스 | (주4일/휴일/주간/야간/평일) 긴급출동접수 인바운드 상담사 채용/삼성화재 | 5시간 전 등록
[2025-07-28 06:00:38] INFO - 0070 | ㈜테이스터스 | [주5일/주2회 휴무] 바스버거 직영점 직원 채용[역삼점/여의도점] | 5시간 전 등록
[2025-07-28 06:00:39] INFO - 0071 | 하랑 | [전주센터/면접비 지급] LG유플러스 고객지원안내 업무 정규직 채용[월-금] | 5시간 전 등록
